PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
O94875-10;O94875-12;O94875-3;O94875-4	SORBS2	Homo sapiens	Isoform 10 of Sorbin and SH3 domain-containing protein 2;Isoform 12 of Sorbin and SH3 domain-containing protein 2;Isoform 3 of Sorbin and SH3 domain-containing protein 2;Isoform 4 of Sorbin and SH3 domain-containing protein 2	SRBS2_HUMAN	21	24	31	False	163176,671875	130241,953125	108985,453125	128319,2421875	123754,3046875	125278,9375	203974,546875	154344,109375	213626,390625	172377,046875	153424,78125	164069,40625	79035,03125	53644,34765625	58467,99609375	60374,51171875	65425,4765625	64696,18359375	76640,5234375	62724,1171875	91176,359375	75524,3828125	72306,6796875	74472,7890625
O94885	SASH1	Homo sapiens	SAM and SH3 domain-containing protein 1	SASH1_HUMAN	7	7	7	True	5970,0869140625	15019,59765625	5388,01611328125	7913,40087890625	5450,71240234375	4041,487060546875	2199,943603515625	4307,34912109375	0,7503344416618347	4769,13330078125	NaN	2908,63525390625	4494,0009765625	3748,727294921875	5655,8046875	4718,5126953125	4580,41357421875	6602,05126953125	2660,02392578125	3206,85302734375	4235,4150390625	5307,4794921875	2224,546875	5577,91650390625
O94888	UBXN7	Homo sapiens	UBX domain-containing protein 7	UBXN7_HUMAN	2	2	2	True	18181,041015625	13628,70703125	12039,7158203125	16850,5859375	14717,5078125	13240,3994140625	6655,86376953125	11547,37890625	3762,769775390625	15850,7978515625	10504,59765625	13285,310546875	8087,3447265625	6209,43603515625	6455,7138671875	6435,44384765625	7507,0693359375	6013,33447265625	4059,5732421875	4808,5263671875	3744,637451171875	4108,8291015625	4344,2529296875	4272,18994140625
O94903	PLPBP	Homo sapiens	Pyridoxal phosphate homeostasis protein	PLPHP_HUMAN	6	6	6	False	46402,32421875	35926,21875	39744,515625	43702,78125	46174,89453125	37674,92578125	63579,48828125	29316,5859375	13781,986328125	78114,0625	70160,203125	35530,93359375	14809,08984375	14009,2431640625	12258,0322265625	15671,85546875	16354,20703125	11977,8837890625	21461,06640625	13530,7470703125	5221,59130859375	19903,98046875	17052,8203125	14914,7041015625
O94907	DKK1	Homo sapiens	Dickkopf-related protein 1	DKK1_HUMAN	12	12	12	True	2021083	2096952,5	3447641,5	1252173,625	1899758,875	2453913,25	2051683,625	3481579,25	5592612	1287256,25	1889860,25	1738628,625	605297,75	629323,9375	998666,1875	358959,59375	543926,0625	727614,5625	590385,0625	1037319,125	1636895	362914,96875	553613,5625	527458
O94910;O94910-2	ADGRL1	Homo sapiens	Adhesion G protein-coupled receptor L1;Isoform 2 of Adhesion G protein-coupled receptor L1	AGRL1_HUMAN	3	3	3	True	20007,1953125	8488,287109375	18270,96484375	14188,03125	3604,024658203125	13394,291015625	18713,1796875	11831,359375	24338,26171875	8521,40625	8458,0517578125	6403,8544921875	4342,8203125	2715,44921875	4275,23974609375	3467,599853515625	2886,78125	4900,64453125	4500,12451171875	7675,17919921875	8897,7119140625	5179,72998046875	2529,105712890625	4205,9482421875
O94919	ENDOD1	Homo sapiens	Endonuclease domain-containing 1 protein	ENDD1_HUMAN	7	8	8	True	44527,890625	30135,544921875	56500,79296875	45860,6484375	30122,259765625	60341,4609375	53063,8984375	67341,8515625	94080,2578125	58307,98046875	37517,19140625	55970,82421875	11023,5380859375	6936,52294921875	12832,896484375	10267,8310546875	8926,158203125	19803,595703125	12457,666015625	18540,60546875	27415,146484375	15409,6943359375	12783,11328125	23143,03125
O94925	GLS	Homo sapiens	Glutaminase kidney isoform, mitochondrial	GLSK_HUMAN	7	7	7	True	45675,8984375	13750,693359375	16837,947265625	15838,6083984375	6781,4599609375	30190,43359375	17598,15234375	5351,63232421875	70342,40625	4545,22900390625	1039,0655517578125	12772,400390625	8687,736328125	1005,0878295898438	2391,21435546875	4300,3017578125	3307,770263671875	5784,2109375	3299,82373046875	51,17190933227539	309,51751708984375	1204,615234375	4716,931640625	1443,2099609375
O94973;O94973-2	AP2A2	Homo sapiens	AP-2 complex subunit alpha-2;Isoform 2 of AP-2 complex subunit alpha-2	AP2A2_HUMAN	11	11	11	False	38689,68359375	72258,65625	57213,23828125	52755,74609375	44474,4453125	26726,7109375	55948,234375	33117,19140625	35169,90234375	55144,50390625	53014,9375	30720,85546875	17471,052734375	27357,767578125	19607,083984375	26922,96484375	23382,68359375	15732,8115234375	22601,7578125	13968,7900390625	8721,1708984375	21747,130859375	25062,236328125	16633,427734375
O94979;O94979-10;O94979-2;O94979-3;O94979-4;O94979-6;O94979-8;O94979-9	SEC31A	Homo sapiens	Protein transport protein Sec31A;Isoform 10 of Protein transport protein Sec31A;Isoform 2 of Protein transport protein Sec31A;Isoform 3 of Protein transport protein Sec31A;Isoform 4 of Protein transport protein Sec31A;Isoform 6 of Protein transport protein Sec31A;Isoform 8 of Protein transport protein Sec31A;Isoform 9 of Protein transport protein Sec31A	SC31A_HUMAN	21	22	24	False	128225,8515625	123362,6171875	92507,8671875	148614,5625	121569,75	97102,1875	115117,953125	103365,5703125	82576,1953125	136663,03125	126127,4765625	100477,328125	39581,77734375	39493,30078125	28660,083984375	43974,125	40663,2109375	35192,1015625	36300,9453125	29819,28515625	20941,89453125	36881,87109375	36588,359375	33156,66015625
O94985	CLSTN1	Homo sapiens	Calsyntenin-1	CSTN1_HUMAN	25	25	28	False	568179,1875	641612,6875	1004519,9375	813239,125	701583,0625	1065207	620606,625	1094470,375	619986,0625	845062	858548,0625	998114,25	209347,03125	222652,96875	345016,15625	255213,109375	251263,234375	393690,53125	229192,53125	386682,5	248332,015625	279816,15625	285246,3125	375228,125
O94985-2	CLSTN1	Homo sapiens	Isoform 2 of Calsyntenin-1	CSTN1_HUMAN	1	1	1	False	174223,3125	172523,625	421921,96875	223167,625	230012,609375	471616,21875	194173,40625	332366,96875	505086,84375	238168,515625	281359,34375	365565,5625	53312,1953125	57686,19921875	104258,4140625	52547,3828125	63198,26953125	141463,703125	42381,6875	95914,40625	183740,15625	52966,31640625	56884,3828125	119772,4140625
O94992;Q96MH2	HEXIM1;HEXIM2	Homo sapiens	Protein HEXIM1;Protein HEXIM2	HEXI1_HUMAN;HEXI2_HUMAN	1	1	1	True	NaN	NaN	NaN	1,618249773979187	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2438,408203125	2155,07373046875	877,9910888671875	2644,260986328125	3150,050537109375	3398,13818359375	NaN	NaN	NaN	1494,8236083984375	1192,5831298828125	1901,3011474609375
O95070	YIF1A	Homo sapiens	Protein YIF1A	YIF1A_HUMAN	1	1	1	False	8626,083984375	7826,490234375	NaN	3100,464111328125	6459,279296875	6565,5205078125	3568,517822265625	2851,7255859375	NaN	13790,6240234375	NaN	8472,2373046875	2252,44921875	1546,259033203125	959,6162719726562	1327,50244140625	2192,705322265625	722,6703491210938	1839,36083984375	1341,525146484375	NaN	1497,3199462890625	1354,5076904296875	1117,6165771484375
O95081	AGFG2	Homo sapiens	Arf-GAP domain and FG repeat-containing protein 2	AGFG2_HUMAN	2	2	2	True	14335,072265625	8115,46484375	7315,76171875	1853,7034912109375	7789,11376953125	5637,99853515625	8128,4619140625	1921,24169921875	11171,8203125	2037,8560791015625	7219,19482421875	7502,64404296875	8183,0673828125	4355,28369140625	6961,3193359375	3106,511962890625	4637,83251953125	4430,49169921875	5573,7646484375	4678,61962890625	6449,02685546875	3268,8037109375	5330,41845703125	3607,487548828125
O95084	PRSS23	Homo sapiens	Serine protease 23	PRS23_HUMAN	9	9	10	False	541149,25	415221,40625	597582	307922,3125	397702,40625	491186,5	369730,25	346019,21875	247262,578125	277421,53125	310467,375	331511,59375	71625,2578125	85069,0390625	98222,578125	72639,453125	85920,2265625	92812,828125	64151,84765625	85173,7890625	73546,484375	65099,30859375	61396,37890625	80877,3515625
O95159	ZFPL1	Homo sapiens	Zinc finger protein-like 1	ZFPL1_HUMAN	2	2	2	True	11558,66796875	26793,283203125	26463,234375	10766,9384765625	23231,44140625	7835,16259765625	10461,703125	18408,82421875	3587,938720703125	9642,42578125	8406,53515625	13117,685546875	10117,240234375	7908,69873046875	8535,5380859375	4527,53759765625	6789,9736328125	6273,69140625	5957,216796875	6511,27197265625	5359,5068359375	5269,1904296875	4116,025390625	4962,58056640625
O95182	NDUFA7	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	NDUA7_HUMAN	3	3	4	True	33635,1171875	20283,63671875	40434,359375	36045,81640625	40796,59765625	42900,6484375	22043,072265625	18006,931640625	33509,46875	30711,51171875	12679,3115234375	19128,423828125	6259,759765625	4943,06982421875	6698,92138671875	7121,17529296875	7053,13720703125	7070,42333984375	3374,6357421875	3036,524658203125	5237,16259765625	3572,5302734375	2962,6083984375	3998,64697265625
O95202	LETM1	Homo sapiens	Mitochondrial proton/calcium exchanger protein	LETM1_HUMAN	7	7	7	True	10047,8447265625	10056,9052734375	17989,20703125	5074,7578125	6946,96728515625	10522,931640625	4185,09423828125	2499,39404296875	6,723264694213867	8370,7890625	1861,765869140625	3632,22216796875	2925,965576171875	2127,2724609375	1636,6466064453125	3103,2314453125	2695,0302734375	2191,221923828125	977,5260009765625	867,2509765625	494,171630859375	2284,340087890625	700,7938842773438	1742,8409423828125
O95208;O95208-2;O95208-3;O95208-5	EPN2	Homo sapiens	Epsin-2;Isoform 2 of Epsin-2;Isoform 3 of Epsin-2;Isoform 4 of Epsin-2	EPN2_HUMAN	3	3	3	True	5737,923828125	4996,94921875	8479,4580078125	5930,06396484375	6034,5517578125	8608,0966796875	9802,5244140625	8185,5576171875	12927,1025390625	8523,08984375	4678,69140625	7057,41357421875	2171,719482421875	1856,3751220703125	2503,50048828125	2238,864501953125	1693,357421875	2937,002685546875	3129,39306640625	2720,626220703125	4196,5703125	2782,1240234375	2412,19287109375	3901,783447265625
O95219;O95219-2	SNX4	Homo sapiens	Sorting nexin-4;Isoform 2 of Sorting nexin-4	SNX4_HUMAN	3	3	3	True	1413,086669921875	913,9749755859375	NaN	NaN	NaN	NaN	2602,39306640625	1239,3577880859375	4512,7626953125	2090,39892578125	1175,86083984375	11058,275390625	1617,6829833984375	1006,404541015625	721,4195556640625	387,210205078125	347,4462585449219	NaN	3910,635986328125	1427,4901123046875	1422,0196533203125	1764,9993896484375	2138,07763671875	1374,49853515625
O95249;O95249-2	GOSR1	Homo sapiens	Golgi SNAP receptor complex member 1;Isoform 2 of Golgi SNAP receptor complex member 1	GOSR1_HUMAN	1	1	1	False	NaN	NaN	0,6217027306556702	0,6144616007804871	2,9180915355682373	NaN	1	NaN	NaN	NaN	1,540725588798523	NaN	3346,981201171875	3107,0908203125	3285,135009765625	2743,13916015625	4610,90478515625	2615,635986328125	2653,688720703125	1445,1630859375	NaN	2309,76123046875	2011,5185546875	2312,685546875
O95292	VAPB	Homo sapiens	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN	5	5	5	False	259391,03125	155531,109375	117182,46875	189437,90625	156289,703125	143121,484375	144785,046875	146380,0625	143165,421875	132455,75	118069,328125	128831,2109375	27150,77734375	25302,96875	19137,298828125	23410,669921875	28663,16015625	22354,052734375	21603,72265625	21190,654296875	14941,9853515625	20742,46484375	23682,1640625	18465,9453125
O95295	SNAPIN	Homo sapiens	SNARE-associated protein Snapin	SNAPN_HUMAN	1	1	1	False	39141,60546875	15739,9521484375	15046,4677734375	39332,52734375	30139,626953125	19578,2421875	20021,5390625	25688,01171875	13423,447265625	21703,77734375	28012,357421875	14782,5205078125	12119,515625	9581,1484375	8342,4599609375	9408,2255859375	10553,65234375	8860,7939453125	13338,0888671875	9043,185546875	6684,86669921875	11109,0625	9736,826171875	9440,0888671875
O95297;O95297-2;O95297-3	MPZL1	Homo sapiens	Myelin protein zero-like protein 1;Isoform 2 of Myelin protein zero-like protein 1;Isoform 3 of Myelin protein zero-like protein 1	MPZL1_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	863,014892578125	NaN	1763,7451171875	396,28936767578125	NaN	NaN	2943,779052734375	NaN	1786,6219482421875
O95299;O95299-2	NDUFA10	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;Isoform 2 of NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUAA_HUMAN	2	2	2	False	23716,73046875	3238,4072265625	5789,6865234375	NaN	1570,1021728515625	9797,8388671875	10956,921875	4221,99853515625	16031,21484375	1784,8369140625	NaN	2043,115478515625	16,457651138305664	NaN	0,06717030704021454	NaN	NaN	0,07676398009061813	22,76506805419922	0,7074179649353027	20,233814239501953	1,1512411832809448	NaN	NaN
O95302;O95302-3	FKBP9	Homo sapiens	Peptidyl-prolyl cis-trans isomerase FKBP9;Isoform 3 of Peptidyl-prolyl cis-trans isomerase FKBP9	FKBP9_HUMAN	20	21	21	False	426869,6875	583292,125	533229	561382,0625	728077,75	448206,09375	642166,25	424218,03125	327370,28125	597098,1875	738723,0625	399441,71875	244509,78125	280369,75	249349,078125	242459,953125	310218,75	220820,96875	317085,0625	226420,21875	188025,96875	265613,75	337006,34375	215461,453125
O95336	PGLS	Homo sapiens	6-phosphogluconolactonase	6PGL_HUMAN	8	8	8	True	69633,8515625	129010,8671875	80130,8671875	173475,6875	97335,1640625	90557,4609375	79143,921875	37583,47265625	23895,71484375	143315,21875	86760,7890625	80704,6875	32837,4765625	51808,76171875	32474,0078125	66670,828125	39977,8515625	36458,96484375	33938,5546875	20993,458984375	16368,05078125	54178,70703125	37596,2578125	31509,30859375
O95340;O95340-2	PAPSS2	Homo sapiens	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2;Isoform B of Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	PAPS2_HUMAN	11	11	11	False	159884,375	169263,828125	130249,40625	91876,4296875	97471,5078125	178076,21875	194290,984375	186588,3125	683937,25	70930,3046875	83475,53125	123068,9921875	1748,3697509765625	2059,220947265625	2187,69775390625	3577,031982421875	3107,4462890625	3346,902587890625	5748,625	3212,663330078125	3806,76708984375	5760,60546875	3942,303955078125	3890,807861328125
O95372	LYPLA2	Homo sapiens	Acyl-protein thioesterase 2	LYPA2_HUMAN	1	1	1	False	NaN	9785,578125	3016,162109375	11902,2255859375	8724,7021484375	NaN	4709,353515625	NaN	NaN	7779,8564453125	4491,880859375	4505,09521484375	NaN	514,9890747070312	NaN	874,284912109375	821,3910522460938	NaN	NaN	NaN	NaN	558,21435546875	843,260498046875	NaN
O95390	GDF11	Homo sapiens	Growth/differentiation factor 11	GDF11_HUMAN	2	2	2	True	15773,73046875	19232,05859375	29967,474609375	18911,416015625	23524,236328125	22138,27734375	15287,0712890625	25169,677734375	28879,125	15808,26953125	16673,37890625	10840,611328125	7069,27392578125	7611,6162109375	10906,71484375	5268,61083984375	5930,3466796875	7069,0068359375	4920,60498046875	9662,544921875	7981,39990234375	3884,01904296875	5703,39501953125	3662,455322265625
O95394;O95394-3	PGM3	Homo sapiens	Phosphoacetylglucosamine mutase;Isoform 2 of Phosphoacetylglucosamine mutase	AGM1_HUMAN	12	12	13	False	53287,50390625	41644,07421875	41796,05078125	48558,06640625	50549,37109375	37637,6796875	51469,3046875	36265,37890625	35666,9140625	56094,5	72934,265625	36797,63671875	12366,3798828125	13899,96875	11422,3466796875	13141,869140625	13739,205078125	9847,2529296875	17517,697265625	11709,921875	8560,830078125	16803,9375	20496,353515625	13382,703125
O95425-3	SVIL	Homo sapiens	Isoform SV3 of Supervillin	SVIL_HUMAN	20	20	21	True	23380,513671875	18110,861328125	17891,01953125	23141,541015625	18581,830078125	19870,384765625	10434,2216796875	13982,7939453125	14827,4697265625	17985,71484375	10131,4453125	13606,220703125	8898,6953125	7082,8896484375	7189,82421875	8250,3310546875	8922,4736328125	8203,5009765625	4864,01513671875	5789,64404296875	7554,623046875	6448,36083984375	3814,466552734375	5927,85546875
O95428;O95428-2;O95428-5;O95428-6	PAPLN	Homo sapiens	Papilin;Isoform 2 of Papilin;Isoform 5 of Papilin;Isoform 6 of Papilin	PPN_HUMAN	1	1	1	False	6113,87890625	3042,430908203125	4372,81884765625	NaN	NaN	2317,982666015625	NaN	NaN	1,2563035488128662	NaN	NaN	NaN	1449,82080078125	1848,775146484375	4381,4814453125	NaN	1118,0242919921875	315,8233947753906	NaN	NaN	2,4734115600585938	NaN	272,3191833496094	NaN
O95429;O95429-2	BAG4	Homo sapiens	BAG family molecular chaperone regulator 4;Isoform 2 of BAG family molecular chaperone regulator 4	BAG4_HUMAN	1	1	1	False	2589,11669921875	353,0174255371094	1160,857177734375	3087,385498046875	2842,21923828125	1151,9276123046875	NaN	1845,8023681640625	NaN	1212,8714599609375	545,9814453125	1069,59814453125	438,64898681640625	183,32229614257812	278,42559814453125	705,912353515625	667,4246215820312	263,19622802734375	NaN	1,041296362876892	NaN	278,9168701171875	611,8347778320312	266,57672119140625
O95433	AHSA1	Homo sapiens	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1_HUMAN	12	12	12	False	43963,24609375	38733,1015625	23074,662109375	37055,2421875	50420,90234375	34131,5234375	46654,9453125	30123,509765625	23092,47265625	60271,1953125	35927,48046875	40831,3515625	16304,6044921875	14770,1689453125	12787,4501953125	16970,5703125	15899,15625	14693,7021484375	18541,23046875	15463,2802734375	6601,74853515625	18761,900390625	18116,64453125	18760,8515625
O95445;O95445-2	APOM	Homo sapiens	Apolipoprotein M;Isoform 2 of Apolipoprotein M	APOM_HUMAN	1	1	1	False	206286,875	319063,59375	NaN	115001,171875	270958,125	145767,09375	178928,71875	332480,75	89768,453125	176663,609375	250756,90625	201348,421875	84019,9609375	141033,203125	88117,0546875	134810,0625	113705,0703125	100044,8984375	79127,0234375	148829,0625	71817,8515625	107300,5546875	130979,9609375	69825,8046875
O95450	ADAMTS2	Homo sapiens	A disintegrin and metalloproteinase with thrombospondin motifs 2	ATS2_HUMAN	8	10	12	False	712017,125	785143,6875	1715347	697642,4375	632357,6875	1312772,875	581078,375	1390833,75	1875563	654588,0625	811841,375	929747,875	124691,109375	132218,6875	292059,4375	105054,8984375	122378,171875	220055,125	110260,5390625	249523,78125	338509,875	101776,015625	140694,921875	168634,203125
O95456;O95456-2	PSMG1	Homo sapiens	Proteasome assembly chaperone 1;Isoform 2 of Proteasome assembly chaperone 1	PSMG1_HUMAN	2	2	2	False	807711,625	419769,96875	330776,1875	344498,09375	286273,53125	365269,90625	348535,6875	294397,84375	313544,125	409385,9375	198317,59375	374813,875	9016,9814453125	5063,44091796875	4667,46435546875	5048,15283203125	3912,965087890625	5842,43701171875	5520,20361328125	3268,7724609375	4279,81591796875	5703,41845703125	3519,67919921875	5310,27099609375
O95479;O95479-2	H6PD	Homo sapiens	GDH/6PGL endoplasmic bifunctional protein;Isoform 2 of GDH/6PGL endoplasmic bifunctional protein	G6PE_HUMAN	19	19	21	True	116250,203125	172469,328125	156357,40625	45842,609375	126172,25	47965,9296875	74011,515625	51641,1328125	25706,3125	41018,375	68754,03125	38083,22265625	28427,2109375	42300,4375	39259,46875	16116,34765625	33452,94921875	12536,5791015625	16548,236328125	10987,3896484375	14717,287109375	12619,3994140625	16870,103515625	8367,0615234375
O95486;O95486-2	SEC24A	Homo sapiens	Protein transport protein Sec24A;Isoform 2 of Protein transport protein Sec24A	SC24A_HUMAN	1	1	1	False	2368,25244140625	NaN	NaN	3282,909423828125	NaN	NaN	2672,16259765625	NaN	NaN	3141,23974609375	3176,13818359375	NaN	2435,50732421875	4565,6142578125	NaN	3856,3310546875	3164,51220703125	NaN	3726,200927734375	NaN	NaN	3226,98046875	3592,855224609375	76744,7734375
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	ADGRL2	Homo sapiens	Adhesion G protein-coupled receptor L2;Isoform 2 of Adhesion G protein-coupled receptor L2;Isoform 3 of Adhesion G protein-coupled receptor L2;Isoform 4 of Adhesion G protein-coupled receptor L2;Isoform 5 of Adhesion G protein-coupled receptor L2;Isoform 6 of Adhesion G protein-coupled receptor L2;Isoform 7 of Adhesion G protein-coupled receptor L2	AGRL2_HUMAN	4	4	4	True	1651,386962890625	854,7316284179688	1312,65771484375	4937,94384765625	1309,4776611328125	1431,523193359375	593,51318359375	NaN	0,83053058385849	3746,002685546875	NaN	4039,36669921875	1438,8424072265625	1340,0274658203125	1696,1904296875	4486,66064453125	1179,3228759765625	6593,8388671875	515,6845703125	507,99993896484375	377,3377990722656	3217,7490234375	NaN	2282,379638671875
O95497	VNN1	Homo sapiens	Pantetheinase	VNN1_HUMAN	2	2	2	True	194856,140625	534896,8125	131728,3125	194277,984375	332737,875	200399,578125	100045,203125	205336,421875	83939,8359375	169350,859375	315008,625	89692,3203125	18564,169921875	31507,275390625	22587,787109375	32130,9453125	29012,181640625	24879,353515625	14001,5732421875	22085,23046875	5673,0498046875	18344,326171875	25844,912109375	11058,9208984375
O95571	ETHE1	Homo sapiens	Persulfide dioxygenase ETHE1, mitochondrial	ETHE1_HUMAN	7	7	7	True	52811,4765625	83337,0234375	48127,26953125	63367,73828125	76034,2421875	43614,671875	32438,634765625	21109,666015625	1,2277299165725708	41582,953125	41784,5546875	24562,50390625	50458,3515625	40470,26953125	38598,703125	48166,34375	54530,546875	37906,31640625	30320,857421875	24395,296875	19607,78515625	30175,724609375	29512,626953125	25108,962890625
O95630	STAMBP	Homo sapiens	STAM-binding protein	STABP_HUMAN	8	8	8	False	16466,361328125	20203,71484375	13484,9296875	13122,93359375	12100,857421875	7603,38671875	20464,11328125	23884,646484375	8506,8046875	20916,779296875	20804,2734375	16857,603515625	10720,673828125	8343,3232421875	9066,51171875	8194,7744140625	10250,4892578125	7322,06884765625	13945,7509765625	10659,9228515625	10172,6806640625	9990,328125	12217,552734375	9732,6611328125
O95633;O95633-2	FSTL3	Homo sapiens	Follistatin-related protein 3;Isoform 2 of Follistatin-related protein 3	FSTL3_HUMAN	9	9	10	True	717651	751028	1351656,875	593145,125	768980,9375	900933,625	595962,875	1235643,125	1791745,875	498377,8125	710188,75	704192,375	73454,75	73266,4375	139445,15625	51265,57421875	82632,328125	111770,6015625	63481,1796875	141325,6875	199736,09375	52211,3046875	79425,0859375	75388,8984375
O95671;O95671-2;O95671-3	ASMTL	Homo sapiens	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein;Isoform 2 of Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein;Isoform 3 of Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein	ASML_HUMAN	2	2	2	False	5198,1484375	NaN	NaN	NaN	NaN	NaN	7117,47705078125	NaN	NaN	3137,7822265625	352,30474853515625	NaN	461,553955078125	NaN	NaN	NaN	NaN	NaN	1548,79345703125	NaN	NaN	156,90501403808594	600,8156127929688	NaN
O95707	POP4	Homo sapiens	Ribonuclease P protein subunit p29	RPP29_HUMAN	1	1	1	False	13,122840881347656	NaN	NaN	NaN	1	NaN	0,14862631261348724	NaN	NaN	NaN	NaN	NaN	2073,298583984375	1348,822509765625	523,0167236328125	1696,3231201171875	1551,126220703125	NaN	1262,8951416015625	NaN	NaN	1363,5286865234375	1190,4180908203125	1781,3438720703125
O95721	SNAP29	Homo sapiens	Synaptosomal-associated protein 29	SNP29_HUMAN	5	5	5	True	23595,09765625	16300,0205078125	19076,759765625	13488,912109375	10784,4599609375	21914,9296875	33017,2109375	29543,8359375	42263,3046875	26266,08203125	22835,271484375	26268,748046875	8258,400390625	6853,25244140625	8148,61767578125	7434,3310546875	7937,2099609375	9016,798828125	11141,8447265625	9409,337890625	18667,38671875	10411,9208984375	11132,39453125	12899,7685546875
O95747	OXSR1	Homo sapiens	Serine/threonine-protein kinase OSR1	OXSR1_HUMAN	5	5	5	False	58835,12890625	32180,5625	23292,796875	54559,640625	24972,400390625	45503,56640625	50728,85546875	26960,275390625	20035,275390625	46930,5625	12386,1171875	41705,80859375	8827,9697265625	8024,94482421875	4170,5263671875	8855,736328125	5066,90771484375	6227,26904296875	7583,36279296875	5328,32763671875	3185,73681640625	8216,59765625	4768,73193359375	9387,318359375
O95749;O95749-2	GGPS1	Homo sapiens	Geranylgeranyl pyrophosphate synthase;Isoform 2 of Geranylgeranyl pyrophosphate synthase	GGPPS_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	1,1987156867980957	0,6890591382980347	1,1808199882507324	NaN	NaN	1	443,4562072753906	1018,2982177734375	NaN	793,0037231445312	333,2685241699219	420,3998718261719	874,196044921875	1,0079905986785889	2,3427999019622803	1277,517578125	NaN	825,2653198242188
O95757	HSPA4L	Homo sapiens	Heat shock 70 kDa protein 4L	HS74L_HUMAN	4	4	4	True	2032,951416015625	2524,263916015625	1456,060791015625	3743,529296875	2710,267333984375	1348,4989013671875	1946,936767578125	3656,62060546875	NaN	4322,47998046875	1574,7899169921875	5672,291015625	1097,3424072265625	1227,6815185546875	1362,8619384765625	4359,54443359375	4617,0009765625	1886,1422119140625	361,10638427734375	267,4170227050781	NaN	2749,552001953125	978,2781982421875	2025,06005859375
O95777	LSM8	Homo sapiens	U6 snRNA-associated Sm-like protein LSm8	LSM8_HUMAN	6	6	6	False	105892,0234375	46430,80859375	42056,72265625	52972,0703125	47863,05078125	39516,69921875	39556,77734375	27555,30078125	22541,86328125	34966,96484375	19524,5859375	38855,10546875	43717,3671875	22482,8203125	19260,763671875	21311,544921875	24567,478515625	19703,390625	18860,986328125	14284,927734375	18734,3828125	17158,111328125	17107,021484375	18240,86328125
