PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
P13807	GYS1	Homo sapiens	Glycogen [starch] synthase, muscle	GYS1_HUMAN	1	1	1	True	NaN	4525,27587890625	8235,7177734375	NaN	NaN	NaN	5527,6103515625	6265,42919921875	2618,72802734375	1790,0869140625	1975,188720703125	4254,05859375	NaN	388,9020080566406	2512,910888671875	NaN	NaN	NaN	1327,5841064453125	1035,0791015625	116,56690979003906	157,77850341796875	206,00904846191406	4,9439778327941895
P13861;P13861-2	PRKAR2A	Homo sapiens	cAMP-dependent protein kinase type II-alpha regulatory subunit;Isoform 2 of cAMP-dependent protein kinase type II-alpha regulatory subunit	KAP2_HUMAN	6	6	6	True	5366,62109375	10925,30078125	8684,91796875	9536,08984375	13016,431640625	9049,1796875	5280,892578125	6193,65087890625	8361,408203125	6138,1484375	14297,21875	9960,7421875	816,9860229492188	2051,528564453125	753,405517578125	1838,922607421875	2410,986083984375	1599,01220703125	1018,5435791015625	57,078914642333984	1731,7952880859375	1091,02880859375	2849,578857421875	982,5267333984375
P13929;P13929-2;P13929-3	ENO3	Homo sapiens	Beta-enolase;Isoform 2 of Beta-enolase;Isoform 3 of Beta-enolase	ENOB_HUMAN	2	2	2	False	4087,10302734375	3539,224365234375	NaN	6553,2119140625	6402,1513671875	1676,9532470703125	2350,581787109375	NaN	4322,8564453125	4993,4794921875	4466,00537109375	9937,037109375	2696,04736328125	2059,9736328125	454,3357849121094	3239,16748046875	2694,1025390625	804,4408569335938	1948,8701171875	NaN	1329,513671875	2207,97900390625	902,00048828125	885,1934204101562
P13984	GTF2F2	Homo sapiens	General transcription factor IIF subunit 2	T2FB_HUMAN	1	1	1	False	5076,763671875	NaN	1012,1148071289062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	235,7089385986328	NaN	279,4518737792969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P13987;P13987-2	CD59	Homo sapiens	CD59 glycoprotein;Isoform 2 of CD59 glycoprotein	CD59_HUMAN	5	5	7	False	372688,34375	386093,15625	351925,125	499069,21875	648391,5	444096,4375	454328,84375	404776,28125	482759,0625	550568	643044,0625	441309,875	63883,78515625	68968,359375	66497,6875	82082,6328125	110470,640625	79523,046875	77479,1484375	75696,2265625	79710,65625	86087,6015625	97871,4375	88948,875
P14174	MIF	Homo sapiens	Macrophage migration inhibitory factor	MIF_HUMAN	4	5	6	False	596333,9375	326678,875	495837,8125	364453,9375	275855,78125	344243,78125	463239,3125	427759,21875	305250,59375	629957,875	544023,75	804657,1875	229610,015625	181661,46875	115595,7421875	160588,703125	122732,34375	144909,03125	230158,71875	106003,78125	150824	314514,1875	238645,875	16195,064453125
P14209	CD99	Homo sapiens	CD99 antigen	CD99_HUMAN	3	3	4	False	68656,6796875	72531,015625	115371,25	68803,4296875	77552,5	29804,556640625	39769,984375	25093,828125	73584,53125	44268,984375	45150,140625	56537,67578125	27290,87109375	37611,94140625	45269,4453125	32595,541015625	39459,15234375	18202,21484375	20485,37109375	34916,55078125	35224,45703125	19624,6171875	26236,158203125	29785,828125
P14210;P14210-3	HGF	Homo sapiens	Hepatocyte growth factor;Isoform 3 of Hepatocyte growth factor	HGF_HUMAN	22	22	22	True	58677,7421875	78285,6875	43956,3125	62189,203125	66561,0625	42736,77734375	46658,03125	50870,51171875	35005,03125	44915,41796875	41614,8125	30362,04296875	20732,689453125	22738,408203125	15768,4580078125	18345,6484375	20642,78125	15584,41796875	18021,736328125	19676,58984375	12714,2353515625	15322,697265625	13093,2978515625	10348,7294921875
P14314;P14314-2	PRKCSH	Homo sapiens	Glucosidase 2 subunit beta;Isoform 2 of Glucosidase 2 subunit beta	GLU2B_HUMAN	19	20	23	False	408851,40625	203965,84375	384304,4375	342756,71875	273199,75	348993,34375	377608,125	413100,5625	368505,90625	387734,125	300722,40625	381137,71875	91232,2109375	49836,23828125	92791,796875	81638,171875	69507,3203125	97254,2734375	94747,09375	106377,6171875	91020,8671875	83343,484375	71254,140625	99971,3515625
P14317	HCLS1	Homo sapiens	Hematopoietic lineage cell-specific protein	HCLS1_HUMAN	3	3	3	False	5598,056640625	5004,03369140625	4570,7578125	5688,2705078125	5855,85400390625	3376,078857421875	7890,58251953125	4730,40283203125	3259,734619140625	4984,0439453125	3859,552490234375	2237,22265625	803,17236328125	660,0598754882812	1576,9488525390625	2715,2734375	1164,06787109375	381,4269104003906	1403,578369140625	1562,3399658203125	1112,40478515625	1969,240234375	882,4957885742188	1258,8453369140625
P14324;P14324-2	FDPS	Homo sapiens	Farnesyl pyrophosphate synthase;Isoform 2 of Farnesyl pyrophosphate synthase	FPPS_HUMAN	7	7	7	False	328181,21875	176456,546875	207426,046875	285714,84375	170048,609375	193146,734375	275518,15625	187544,671875	174634,21875	318493,71875	202516,203125	194348,75	50782,61328125	33685,5859375	36088,8671875	50337,09765625	33291,55078125	36956,45703125	53805,77734375	38297,73828125	32703,1953125	55144,0390625	34993,74609375	39906,0234375
P14384	CPM	Homo sapiens	Carboxypeptidase M	CBPM_HUMAN	5	5	5	True	22981,962890625	19130,900390625	7288,75830078125	24638,873046875	25249,001953125	10994,1279296875	15414,4072265625	5851,54931640625	10150,1435546875	14814,16015625	20506,775390625	7890,59765625	2304,290283203125	2779,525390625	1739,2005615234375	3037,953857421875	2689,554443359375	4160,169921875	1268,2454833984375	451,7047424316406	1453,2138671875	2112,093017578125	2781,02001953125	1329,219970703125
P14406	COX7A2	Homo sapiens	Cytochrome c oxidase subunit 7A2, mitochondrial	CX7A2_HUMAN	2	2	2	False	3696,81494140625	5649,06494140625	9188,9462890625	4241,734375	819,7294311523438	4551,326171875	6066,51806640625	NaN	2464,208251953125	2387,877197265625	11215,8017578125	17924,021484375	907,688232421875	1624,53515625	7279,255859375	635,3111572265625	1092,287353515625	1601,1785888671875	517,019775390625	NaN	249,81219482421875	227,99647521972656	1340,5166015625	1441,0921630859375
P14543	NID1	Homo sapiens	Nidogen-1	NID1_HUMAN	46	48	56	False	1638383,25	2003278,875	721505,0625	1133753,125	1538248,875	1267454,625	1110767,75	931909,1875	1438841,375	1224457,25	1840658,875	1225470,625	436637,3125	525021,3125	222398,9375	294133,5625	418384,4375	351110,03125	312803,375	274448,3125	400456,5	316347,8125	453128,4375	349290,40625
P14550	AKR1A1	Homo sapiens	Aldo-keto reductase family 1 member A1	AK1A1_HUMAN	8	9	9	False	25605,115234375	19381,62109375	11205,095703125	24300,115234375	21663,833984375	21436,8828125	22775,986328125	15931,80078125	22796,42578125	25472,873046875	22451,173828125	16149,751953125	18892,123046875	8106,3876953125	6301,1884765625	10969,755859375	7043,23095703125	9663,388671875	9197,919921875	4658,00048828125	8491,1982421875	12436,7255859375	8945,298828125	6280,841796875
P14618	PKM	Homo sapiens	Pyruvate kinase PKM	KPYM_HUMAN	35	40	45	False	1771174,5	1575985,625	963259,3125	1755179,875	1538035,625	1786128,125	1196508,625	1053714	1481716,5	1862130,25	1857129,875	1760575	598108,25	508769,125	319567,3125	588503,875	460069,03125	552986,375	394200,125	333483,34375	491142,65625	648440,1875	591242,9375	533698,75
P14621	ACYP2	Homo sapiens	Acylphosphatase-2	ACYP2_HUMAN	4	4	4	False	6589,73779296875	4818,31884765625	3692,33056640625	6909,89453125	4670,16943359375	4654,0830078125	6878,26220703125	8080,2578125	5097,20703125	3011,328369140625	5904,5537109375	5247,0400390625	1728,14892578125	1169,485107421875	927,3167724609375	1976,1644287109375	1661,5928955078125	1072,50146484375	2158,431640625	1573,2083740234375	1335,4879150390625	2702,324462890625	1585,0252685546875	1212,966552734375
P14625	HSP90B1	Homo sapiens	Endoplasmin	ENPL_HUMAN	36	39	45	False	397961,75	233781,765625	269043,0625	221797,71875	181057,21875	230452,265625	327375,53125	200707,65625	436618	277016,03125	177789,3125	179319,625	178673,75	107533,7265625	133833,21875	112607,609375	89107,203125	114557,1484375	161190,1875	100076,6953125	209066,28125	133923,6875	86574,1796875	93641,21875
P14678;P14678-2;P14678-3;P63162;P63162-2	SNRPB;SNRPB;SNRPB;SNRPN;SNRPN	Homo sapiens	Small nuclear ribonucleoprotein-associated proteins B and B';Isoform SM-B of Small nuclear ribonucleoprotein-associated proteins B and B';Isoform SM-B1 of Small nuclear ribonucleoprotein-associated proteins B and B';Small nuclear ribonucleoprotein-associated protein N;Isoform 2 of Small nuclear ribonucleoprotein-associated protein N	RSMB_HUMAN;RSMB_HUMAN;RSMB_HUMAN;RSMN_HUMAN;RSMN_HUMAN	2	2	2	True	39101,46875	74095,671875	41417,71875	54958,5078125	35237,87890625	11049,8369140625	29948,224609375	NaN	58366,4921875	20679,80859375	9003,66796875	1351,645263671875	2506,935302734375	2664,47509765625	6098,51123046875	4209,123046875	1912,97412109375	1097,8033447265625	3489,433349609375	NaN	2575,14013671875	1784,55126953125	956,2978515625	795,023681640625
P14735	IDE	Homo sapiens	Insulin-degrading enzyme	IDE_HUMAN	4	4	4	False	61221,796875	47177,24609375	40446,546875	15311,91796875	33057,92578125	31113,197265625	18741,693359375	99322,046875	9123,7509765625	20003,314453125	11757,7666015625	22434,169921875	746,6937255859375	635,770263671875	573,1553344726562	610,0029907226562	505,02838134765625	436,6262512207031	645,4354248046875	614,7532958984375	612,4901733398438	590,201171875	565,3237915039062	292,660400390625
P14854	COX6B1	Homo sapiens	Cytochrome c oxidase subunit 6B1	CX6B1_HUMAN	3	3	3	False	27810,193359375	46791,28125	72050,2890625	84231,6328125	54735,90625	13367,4609375	38969,30078125	26068,71484375	86990,03125	38160,4609375	30088,177734375	29032,1640625	6966,91650390625	12325,9921875	19414,90625	20509,9921875	14847,8642578125	3528,1484375	12606,7646484375	6915,12744140625	19062,66015625	10302,91796875	9256,5283203125	7295,2353515625
P14866	HNRNPL	Homo sapiens	Heterogeneous nuclear ribonucleoprotein L	HNRPL_HUMAN	14	16	16	False	61655,6015625	67395,5859375	124718,09375	74025,8359375	61994,48828125	95654,2109375	61649,265625	59438,40234375	71630,5625	44372,10546875	54474,4140625	60082,26171875	14536,3662109375	14303,2568359375	23186,666015625	13834,1875	9100,2353515625	17865,9609375	10694,9970703125	10369,1826171875	13108,494140625	13094,5146484375	9789,8486328125	11500,5146484375
P14868	DARS1	Homo sapiens	Aspartate--tRNA ligase, cytoplasmic	SYDC_HUMAN	3	3	3	False	9812,4443359375	2438,50341796875	4620,96484375	2298,560546875	5766,146484375	4596,8095703125	5901,59423828125	7352,62109375	1567,2864990234375	1558,86376953125	2312,59130859375	3017,77490234375	3374,457275390625	1826,0704345703125	3170,296875	3263,530517578125	4856,46484375	2581,057373046875	2178,970703125	3194,715087890625	2559,154296875	2618,545654296875	2398,52783203125	3073,13818359375
P14923	JUP	Homo sapiens	Junction plakoglobin	PLAK_HUMAN	2	2	2	False	1	NaN	NaN	NaN	NaN	NaN	NaN	0,8204696774482727	NaN	NaN	NaN	8,251697540283203	336,6520690917969	190,76585388183594	NaN	NaN	306,9117431640625	NaN	NaN	1311,91357421875	656,228759765625	719,90185546875	NaN	4202,92529296875
P14927;P14927-2	UQCRB	Homo sapiens	Cytochrome b-c1 complex subunit 7;Isoform 2 of Cytochrome b-c1 complex subunit 7	QCR7_HUMAN	1	1	1	True	2338,781494140625	8433,5029296875	9246,0576171875	13877,953125	17247,23046875	15208,240234375	NaN	NaN	1550,2808837890625	7528,53515625	17848,564453125	14602,2626953125	744,0929565429688	2200,49755859375	1191,028076171875	1795,98779296875	2997,0576171875	2591,66259765625	457,4980163574219	NaN	1495,7298583984375	1536,8251953125	3315,292236328125	2099,103515625
P15090	FABP4	Homo sapiens	Fatty acid-binding protein, adipocyte	FABP4_HUMAN	10	12	14	False	215044,734375	145491,21875	342511,84375	104685,546875	108858,1796875	296092,34375	190849,5	611092,625	141012,9375	321488,5625	216567,390625	212347,375	30673,150390625	15926,9462890625	53378,20703125	12201,98046875	13928,146484375	24343,939453125	15597,7646484375	46057,1953125	11077,2421875	16416,3828125	19690,904296875	7580,0224609375
P15104	GLUL	Homo sapiens	Glutamine synthetase	GLNA_HUMAN	8	9	9	False	74164,6953125	62328,95703125	73520,5859375	71341,1875	49055,6953125	69620,671875	41591,41015625	54675,92578125	69450,859375	61642,10546875	45166,3203125	59161,21484375	26739,880859375	21454,4921875	32196,375	30093,3125	20060,791015625	23213,259765625	23444,58203125	23416,810546875	26363,4140625	24671,02734375	17158,484375	23751,203125
P15121	AKR1B1	Homo sapiens	Aldo-keto reductase family 1 member B1	ALDR_HUMAN	10	11	11	True	58005,94921875	35515,71484375	27667,896484375	44959,484375	31126,93359375	49186,43359375	41551,875	44525,70703125	35096,0078125	74544,578125	68017,828125	51850,05078125	21717,294921875	15704,755859375	9961,2958984375	18438,38671875	13240,8583984375	18098,462890625	15644,8193359375	13678,755859375	14732,380859375	26299,029296875	21569,3125	18151
P15144	ANPEP	Homo sapiens	Aminopeptidase N	AMPN_HUMAN	34	41	44	False	102164,1796875	144678,515625	122286,890625	113819,7890625	231468,21875	190669,171875	123600,140625	122799,1015625	168640,21875	142579,59375	194743,171875	210316,125	38252,3125	53640,50390625	40115,33984375	41020,45703125	80089,828125	68824,7734375	43351,83984375	42333,6015625	59465,19140625	47273,765625	66510,609375	71772,90625
P15151;P15151-2;P15151-3	PVR	Homo sapiens	Poliovirus receptor;Isoform Beta of Poliovirus receptor;Isoform Gamma of Poliovirus receptor	PVR_HUMAN	3	4	5	True	82756,375	58975,6328125	33818,46875	91142,3125	73531,4296875	88451,25	57366,1953125	46702,13671875	40778,07421875	87125,0390625	73101,140625	72680,3125	29336,408203125	23876,873046875	12912,529296875	38254,88671875	27675,693359375	34255,87890625	21404,564453125	11953,6884765625	14270,3369140625	32802,26953125	27764,494140625	31775,46484375
P15153;P60763;P63000;P63000-2	RAC2;RAC3;RAC1;RAC1	Homo sapiens	Ras-related C3 botulinum toxin substrate 2;Ras-related C3 botulinum toxin substrate 3;Ras-related C3 botulinum toxin substrate 1;Isoform B of Ras-related C3 botulinum toxin substrate 1	RAC2_HUMAN;RAC3_HUMAN;RAC1_HUMAN;RAC1_HUMAN	1	1	1	False	37123,35546875	34039,3046875	17843,751953125	26043,103515625	56954,33984375	34066,29296875	28620,33203125	29790,59375	24300,369140625	47525,0859375	49987,91796875	47655,125	13055,1181640625	12406,408203125	8341,173828125	12680,8857421875	23951,02734375	12041,0537109375	13064,8095703125	7143,3603515625	13923,4072265625	15494,1748046875	16306,462890625	14879,640625
P15170;P15170-2;P15170-3	GSPT1	Homo sapiens	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Isoform 2 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	ERF3A_HUMAN	11	11	11	False	23564,28515625	15552,8701171875	13533,6787109375	16778,318359375	13882,64453125	11916,9365234375	11083,7470703125	8187,5283203125	11882,345703125	13218,1103515625	12873,1142578125	9631,5380859375	6374,95947265625	6698,76953125	4715,66796875	5153,5498046875	5616,59375	4553,75927734375	4491,27099609375	2510,193115234375	5247,0703125	6156,423828125	5111,68115234375	3862,706787109375
P15289;P15289-2	ARSA	Homo sapiens	Arylsulfatase A;Isoform 2 of Arylsulfatase A	ARSA_HUMAN	5	5	7	False	9405,830078125	10828,9052734375	12567,9580078125	9255,6240234375	10351,28125	9744,3310546875	10027,5	8636,0078125	10961,4404296875	8530,1064453125	9867,06640625	8406,5146484375	5274,60498046875	6397,98828125	5922,6923828125	3632,492431640625	4483,3271484375	5246,8935546875	5802,0556640625	4341,56640625	4303,763671875	4083,03125	3926,21484375	3843,976318359375
P15291;P15291-2	B4GALT1	Homo sapiens	Beta-1,4-galactosyltransferase 1;Isoform Short of Beta-1,4-galactosyltransferase 1	B4GT1_HUMAN	4	4	5	False	78192,84375	195120,0625	47463,62890625	124637,59375	180557,46875	67947,8828125	75397,7890625	37467,2578125	91737,859375	65275,1796875	111779,359375	60682,80078125	21640,361328125	54765,46484375	18353,64453125	48303,2421875	40603,2734375	13415,9111328125	21225,126953125	5258,48974609375	28489,103515625	28094,529296875	33355,71484375	13831,7333984375
P15311	EZR	Homo sapiens	Ezrin	EZRI_HUMAN	25	26	32	False	197695,078125	216903,5625	226512,296875	230068,09375	192294,90625	216547,359375	237667,078125	230598,765625	241221,90625	303547,1875	265443,40625	233892,109375	59210,3125	59891,81640625	70556,6328125	67494,953125	56792,5078125	67563,09375	72832,0078125	77703,0546875	71378,8828125	85100,6796875	70582,5078125	75790,8125
P15374	UCHL3	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase isozyme L3	UCHL3_HUMAN	4	4	4	False	29600,494140625	29096,2265625	29153,486328125	44252,1171875	29322,916015625	11263,1328125	30656,140625	19777,599609375	30512,603515625	20654,515625	20483,072265625	19417,720703125	8855,5625	6155,03271484375	6750,5400390625	9409,6279296875	5536,62255859375	5302,38525390625	9800,046875	8009,18798828125	6952,2109375	8289,607421875	4611,75244140625	4706,8857421875
P15529-16;P15529-2;P15529-3;P15529-4;P15529-5;P15529-6;P15529-7	CD46	Homo sapiens	Isoform 3 of Membrane cofactor protein;Isoform B of Membrane cofactor protein;Isoform D of Membrane cofactor protein;Isoform F of Membrane cofactor protein;Isoform H of Membrane cofactor protein;Isoform J of Membrane cofactor protein;Isoform L of Membrane cofactor protein	MCP_HUMAN	3	4	4	False	263672,78125	160309,28125	60326,96875	72534,6875	67832	173240,4375	54671,1015625	96787,984375	114089,734375	24636,314453125	36459,71875	100619,1484375	20669,685546875	16916,107421875	10152,791015625	11241,53515625	12423,4775390625	21203,513671875	12092,169921875	12951,07421875	11662,48828125	7595,62646484375	8458,314453125	15488,359375
P15531;P15531-2	NME1	Homo sapiens	Nucleoside diphosphate kinase A;Isoform 2 of Nucleoside diphosphate kinase A	NDKA_HUMAN	2	2	2	True	263418,65625	170335,046875	113612,4375	155059,734375	128950,3125	150429,375	146063,15625	57342,28515625	128188,65625	126258,703125	98643,9921875	124262,984375	28422,439453125	25852,4609375	14330,619140625	24057,666015625	921,913818359375	17761,19140625	16294,275390625	8013,58740234375	14913,693359375	15509,1259765625	13369,0556640625	57,4100456237793
P15559;P15559-2	NQO1	Homo sapiens	NAD(P)H dehydrogenase [quinone] 1;Isoform 2 of NAD(P)H dehydrogenase [quinone] 1	NQO1_HUMAN	6	6	7	True	24914,447265625	55682,7109375	33588,73046875	27252,19140625	39198,42578125	35031,10546875	40764,5859375	51166,8984375	37468,5390625	41568,8984375	38492,3359375	37805,1953125	8642,5400390625	15488,75	13745,150390625	9549,0166015625	8812,84375	11375,14453125	15239,150390625	14970,5947265625	14293,21484375	12839,650390625	10923,328125	8346,2119140625
P15586	GNS	Homo sapiens	N-acetylglucosamine-6-sulfatase	GNS_HUMAN	13	16	19	False	604341	685439	324934,28125	442925,21875	668017,875	379512,28125	464960,0625	396684,75	694133,625	491125,90625	547944,3125	381624,25	284395,46875	311065,0625	167939,734375	200620,015625	286729,0625	177508,71875	251375,625	200865,71875	316663,59375	223002,328125	242792,765625	183009,734375
P15692-11;P15692-15;P15692-4;P15692-8	VEGFA	Homo sapiens	Isoform L-VEGF165 of Vascular endothelial growth factor A;Isoform 15 of Vascular endothelial growth factor A;Isoform VEGF165 of Vascular endothelial growth factor A;Isoform VEGF165B of Vascular endothelial growth factor A	VEGFA_HUMAN	6	6	6	True	97302,0625	68292,4765625	91899,171875	89661,0234375	51435,21484375	52699,05859375	105397,671875	127839,7109375	71577,515625	102783,328125	51016,2890625	51162,078125	24802,41796875	18551,04296875	30079,3828125	21533,953125	16608,3515625	14036,4150390625	30642,16015625	30922,11328125	22917,36328125	22476,181640625	15443,0244140625	15154,1416015625
P15848;P15848-2	ARSB	Homo sapiens	Arylsulfatase B;Isoform 2 of Arylsulfatase B	ARSB_HUMAN	3	3	3	False	12602,927734375	14683,388671875	2905,961669921875	16171,93359375	8337,87890625	8749,5341796875	14934,9482421875	5176,4443359375	13152,5380859375	12598,4326171875	12947,10546875	7152,97705078125	5538,33740234375	3491,7451171875	791,4259033203125	2516,53125	2793,595458984375	2113,96630859375	2420,060791015625	92,6917724609375	2705,5693359375	2657,546875	2555,062744140625	1133,6121826171875
P15880	RPS2	Homo sapiens	40S ribosomal protein S2	RS2_HUMAN	7	7	7	False	102301,5	64392,390625	95371,671875	80918,140625	61808,91796875	87367,1796875	73980,2578125	70494,140625	66008,1640625	105861,3671875	67533,484375	91338,2890625	31341,61328125	19018,025390625	29708,158203125	25673,0234375	20130,603515625	22965,41796875	26204,392578125	15755,880859375	19754,234375	29769,599609375	20145,02734375	21708,33203125
P15924	DSP	Homo sapiens	Desmoplakin	DESP_HUMAN	19	19	19	False	933,0587768554688	1602,229736328125	NaN	799,244140625	749,6988525390625	NaN	755,8011474609375	1916,353515625	441,8136291503906	1029,5045166015625	NaN	2146,63671875	461,456298828125	347,984375	NaN	416,138916015625	800,4487915039062	NaN	394,444091796875	713,0498657226562	501,6253662109375	908,1873168945312	264,29351806640625	2465,2646484375
P16035	TIMP2	Homo sapiens	Metalloproteinase inhibitor 2	TIMP2_HUMAN	18	25	30	False	13045770	22193984	19007718	14741275	19845058	18652662	16073745	23159244	18938602	13150752	15432667	15887475	2163963	3219138	3182643,5	2314115,5	2952194,25	2820536,5	2571565,75	4062911,5	3079833,25	2340603,25	2528894,25	2797916
P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8	CD44	Homo sapiens	CD44 antigen;Isoform 10 of CD44 antigen;Isoform 11 of CD44 antigen;Isoform 12 of CD44 antigen;Isoform 13 of CD44 antigen;Isoform 14 of CD44 antigen;Isoform 16 of CD44 antigen;Isoform 17 of CD44 antigen;Isoform 18 of CD44 antigen;Isoform 3 of CD44 antigen;Isoform 4 of CD44 antigen;Isoform 5 of CD44 antigen;Isoform 6 of CD44 antigen;Isoform 7 of CD44 antigen;Isoform 8 of CD44 antigen	CD44_HUMAN	9	11	12	False	468539,09375	542472,125	596360,25	699519,5	560157,8125	472660,96875	349201,125	453325,34375	453512,71875	512592,03125	381468,625	407432,3125	112378,0859375	164870,34375	196770,171875	194555,890625	163254,75	157980,0625	102416,8515625	170222,21875	118751,3828125	122292,6171875	105740,921875	132603,984375
P16083	NQO2	Homo sapiens	Ribosyldihydronicotinamide dehydrogenase [quinone]	NQO2_HUMAN	4	4	4	False	3503,416259765625	1927,794189453125	3730,9306640625	1451,8536376953125	1660,5003662109375	1542,9761962890625	1134,88818359375	641,100830078125	1469,8951416015625	1289,636962890625	1124,8779296875	1739,0457763671875	2137,107421875	1875,87255859375	1213,5810546875	1549,683349609375	1585,1414794921875	1909,4327392578125	1741,43017578125	5,434138298034668	2815,5791015625	957,756103515625	2736,103271484375	17,554479598999023
P16104;Q8IUE6	H2AX;H2AC21	Homo sapiens	Histone H2AX;Histone H2A type 2-B	H2AX_HUMAN;H2A2B_HUMAN	3	3	4	True	142909,328125	226550,4375	310797,59375	122562,5546875	304993,78125	358881,21875	147076,703125	196052,078125	91226,203125	98541,375	112760,7890625	227413,921875	43524,9296875	84590,2421875	65804,875	44830,90625	52326,8828125	60439,9921875	28762,376953125	27029,763671875	33762,55859375	31266,810546875	36732,62890625	70193,3359375
P16152	CBR1	Homo sapiens	Carbonyl reductase [NADPH] 1	CBR1_HUMAN	7	8	8	False	15381,16015625	11723,5458984375	13310,5537109375	16841,90625	15106,525390625	17855,728515625	10507,8662109375	12912,4365234375	9089,62109375	13890,755859375	13769,185546875	8471,8623046875	4015,601806640625	4239,25830078125	3444,923828125	4330,11669921875	3410,04541015625	4229,580078125	3905,211181640625	3909,44921875	2951,571533203125	4191,9638671875	2950,307373046875	2137,745361328125
P16219	ACADS	Homo sapiens	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADS_HUMAN	2	2	3	True	6980,60205078125	10416,08984375	8939,9111328125	16093,75390625	8521,4140625	28726,42578125	14816,125	18923,0234375	24640,326171875	20530,0234375	17793,77734375	16615,068359375	183,2864990234375	311,3388977050781	3,5789949893951416	1448,1865234375	112,7479476928711	2604,70068359375	1198,7806396484375	1822,3043212890625	1929,27734375	1789,279296875	2169,513427734375	304,3733215332031
P16220;P16220-1;P16220-3	CREB1	Homo sapiens	Cyclic AMP-responsive element-binding protein 1;Isoform 2 of Cyclic AMP-responsive element-binding protein 1;Isoform 3 of Cyclic AMP-responsive element-binding protein 1	CREB1_HUMAN	2	2	2	False	11616,7412109375	10026,365234375	10866,7900390625	4359,91064453125	NaN	1506,9072265625	4022,560302734375	1145,1082763671875	3371,54833984375	NaN	5642,01025390625	5737,19189453125	3184,012451171875	1569,818359375	4653,26171875	3255,766845703125	549,574951171875	2603,622802734375	3094,325927734375	1950,7403564453125	2391,15234375	3300,3935546875	1512,2720947265625	2017,87939453125
P16234;P16234-3	PDGFRA	Homo sapiens	Platelet-derived growth factor receptor alpha;Isoform 3 of Platelet-derived growth factor receptor alpha	PGFRA_HUMAN	6	6	6	True	22773,5859375	32108,904296875	11168,501953125	30201,19140625	34566,265625	45787,875	28220,849609375	21810,80859375	28758,9140625	25298,82421875	36099,16796875	34647,07421875	2706,80078125	3019,68359375	1613,203125	3984,231689453125	5475,4111328125	4392,84033203125	2863,743896484375	2095,25048828125	2550,477294921875	4312,74560546875	5688,41259765625	4406,212890625
P16278;P16278-3	GLB1	Homo sapiens	Beta-galactosidase;Isoform 3 of Beta-galactosidase	BGAL_HUMAN	11	11	11	False	79894,671875	105147,078125	90470,46875	50852,828125	83306,296875	82966,5234375	71212,4921875	89721,8359375	88467,3515625	62220,98046875	81852,765625	65725,6640625	22583,93359375	33665,359375	23525,5078125	15432,578125	22059,927734375	22658,908203125	20681,375	29801,48046875	27593,966796875	18017,58203125	21453,494140625	20047,447265625
