PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS1Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS1Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS1Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS1Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS1Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS1Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS1Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS1Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS1Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS1Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS1Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS1Quantity	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS2Quantity
O95785;O95785-3;O95785-4	WIZ	Homo sapiens	Protein Wiz;Isoform 3 of Protein Wiz;Isoform 4 of Protein Wiz	WIZ_HUMAN	4	4	4	False	272902,125	30390,283203125	116197,6796875	114195,4609375	60146,69140625	112710,4140625	194892,09375	120691,15625	21570,37890625	83766,5546875	104032,109375	36077,47265625	7840,54443359375	7959,2685546875	5733,41845703125	7941,89501953125	8251,9453125	8575,6611328125	6619,93603515625	6006,13671875	5068,859375	7741,771484375	6880,205078125	5668,07763671875
O95786	DDX58	Homo sapiens	Antiviral innate immune response receptor RIG-I	DDX58_HUMAN	21	21	22	False	228206,21875	205059,53125	221597,890625	278038,65625	236201,671875	210038,71875	266177,6875	198251,046875	199057,96875	161876,109375	199062,703125	220297,265625	107594,984375	84018	92025,84375	84759,0234375	87807,6953125	91517,59375	95365,25	81602,15625	78877,8046875	73557,9921875	76604,484375	97448,1875
O95793;O95793-2	STAU1	Homo sapiens	Double-stranded RNA-binding protein Staufen homolog 1;Isoform Short of Double-stranded RNA-binding protein Staufen homolog 1	STAU1_HUMAN	20	20	23	False	361353,65625	278224,5625	382601,9375	558119,6875	445990,71875	320987,28125	442246,46875	403644,25	336200,75	435354,9375	574931,625	482990,90625	77931,71875	77607,4140625	101381,96875	107596,4453125	94530,3125	90153,875	103790,984375	101495,34375	88300,890625	104240,78125	147300,875	119750,8828125
O95801	TTC4	Homo sapiens	Tetratricopeptide repeat protein 4	TTC4_HUMAN	8	8	8	False	95040,328125	96123,671875	71115,90625	90125,96875	118882,2734375	115333,1171875	144076,671875	81570,4765625	70896,9375	112657,0234375	81245,515625	78325,328125	14431,98828125	20858,89453125	16937,498046875	13348,279296875	20997,837890625	20633,59765625	12026,759765625	13537,0712890625	14648,458984375	19599,5546875	19053,267578125	12465,955078125
O95807	TMEM50A	Homo sapiens	Transmembrane protein 50A	TM50A_HUMAN	1	2	2	False	58361,203125	11105,03515625	43069,30859375	31640,302734375	14624,7607421875	33312,15234375	41548,28125	58945,5546875	NaN	27591,775390625	31369,525390625	49426,5390625	28044,291015625	6323,21142578125	25834,48046875	27919,09765625	8847,6953125	12060,5078125	25431,841796875	27049,92578125	6181,16845703125	23767,517578125	16972,55859375	32568,32421875
O95810	CAVIN2	Homo sapiens	Caveolae-associated protein 2	CAVN2_HUMAN	15	17	18	False	1056260	1384655,75	1127352,625	1321696,375	1558060,375	1056390,75	1459657,125	1441930,125	1174817,25	1624525,5	1536132,5	1293996,5	253157,078125	345604,3125	269016,84375	270587,53125	357321,5	272975,21875	306866,78125	305485,96875	265490,3125	410265,9375	413839,34375	302105,4375
O95816	BAG2	Homo sapiens	BAG family molecular chaperone regulator 2	BAG2_HUMAN	11	12	13	False	788082,0625	1077141,75	881524,125	854511,3125	1175765,25	1093905,625	697432,375	691433	913750,5	872708,9375	785261,3125	716738,6875	252100,6875	351558,5625	297896,125	265352	349788,78125	337898,375	261717,046875	247402,8125	279823,46875	318654,5625	267014,59375	237564,125
O95817	BAG3	Homo sapiens	BAG family molecular chaperone regulator 3	BAG3_HUMAN	24	24	34	False	704378,5625	992067,125	820796,0625	955194,8125	1136605,75	1110279,375	859539,1875	879424,875	1229933,25	1113666,75	1072109,125	975875,1875	115280,40625	154424,59375	135176,875	134676,09375	162665,890625	172910,71875	138375,328125	129830,453125	189448,09375	172123,4375	162829,21875	149606,421875
O95819-2;O95819-4;O95819-5	MAP4K4	Homo sapiens	Isoform 2 of Mitogen-activated protein kinase kinase kinase kinase 4;Isoform 4 of Mitogen-activated protein kinase kinase kinase kinase 4;Isoform 5 of Mitogen-activated protein kinase kinase kinase kinase 4	M4K4_HUMAN	36	36	38	False	133782,890625	132293,28125	143415,546875	117375,78125	120591,703125	118590,3671875	123904,34375	125504,0546875	75325,4921875	93613,6328125	134118,875	130610,5859375	58688,07421875	51129,765625	55007,33203125	56925,53125	52834,79296875	46679,06640625	52944,46875	51432,7578125	31012,55859375	40115,625	52105,98046875	52896,640625
O95819-6	MAP4K4	Homo sapiens	Isoform 6 of Mitogen-activated protein kinase kinase kinase kinase 4	M4K4_HUMAN	1	1	1	False	13013,1953125	19507,54296875	8533,89453125	8989,7705078125	14631,9228515625	NaN	NaN	NaN	NaN	8795,0361328125	NaN	23326,599609375	4427,49609375	5629,42919921875	5122,9765625	2448,358642578125	3143,15380859375	4932,337890625	1046,4581298828125	3977,753662109375	939,9404296875	4288,6240234375	3406,50732421875	3461,603759765625
O95822;O95822-2	MLYCD	Homo sapiens	Malonyl-CoA decarboxylase, mitochondrial;Isoform Cytoplasmic+peroxisomal of Malonyl-CoA decarboxylase, mitochondrial	DCMC_HUMAN	9	9	9	False	364185,9375	135507,75	324954,65625	195164,046875	174260,953125	185074,671875	345515,1875	180104,734375	97977,3671875	157557,109375	217546,15625	217320,578125	23750,1484375	15016,1748046875	21141,017578125	18461,8203125	15121,4423828125	17107,724609375	21616,24609375	20708,6953125	14911,8125	18152,01953125	12518,552734375	18800,72265625
O95825	CRYZL1	Homo sapiens	Quinone oxidoreductase-like protein 1	QORL1_HUMAN	9	10	11	False	355168,40625	457687	368360,8125	423021,5	566075,6875	401481,71875	368958,09375	393986,9375	491587,46875	439840,125	470453,25	310137,4375	63734,859375	96592,609375	65992,0234375	58575,6875	85086,3515625	70380,5078125	63774,140625	56989,66796875	75929,6171875	62278,703125	69502,7734375	55710,8984375
O95831;O95831-3	AIFM1	Homo sapiens	Apoptosis-inducing factor 1, mitochondrial;Isoform 3 of Apoptosis-inducing factor 1, mitochondrial	AIFM1_HUMAN	19	19	22	False	1503292,875	1259271,375	1301616,375	1456795,75	1352828,125	1467267,375	1103788,625	1208255,375	1147968,25	1187716,625	1020619,3125	1013763,875	358227,28125	321633,46875	308207,5	356061,8125	328212,125	360392,90625	286382,8125	297436,78125	269818,15625	291345,875	266085,625	245928,578125
O95832	CLDN1	Homo sapiens	Claudin-1	CLD1_HUMAN	1	1	1	False	25119,787109375	NaN	NaN	20416,44140625	76221,4609375	NaN	NaN	NaN	NaN	NaN	119689,5	NaN	1309,36474609375	NaN	NaN	1783,2939453125	2774,950927734375	NaN	NaN	NaN	NaN	NaN	3963,18017578125	NaN
O95833	CLIC3	Homo sapiens	Chloride intracellular channel protein 3	CLIC3_HUMAN	3	3	3	True	13729,080078125	11717,701171875	8255,9072265625	20904,759765625	9597,0322265625	11981,7158203125	35213,84765625	37585,53125	8359,0859375	14873,5078125	25951,28125	22211,998046875	7505,333984375	2550,20068359375	6690,19677734375	6402,9521484375	1257,1636962890625	14759,4443359375	22176,3984375	7798,2255859375	9569,4453125	10526,1845703125	12030,1982421875	12247,9169921875
O95834;O95834-2;O95834-3	EML2	Homo sapiens	Echinoderm microtubule-associated protein-like 2;Isoform 2 of Echinoderm microtubule-associated protein-like 2;Isoform 3 of Echinoderm microtubule-associated protein-like 2	EMAL2_HUMAN	15	15	17	False	812623,1875	658291,0625	544308,125	675831,25	667854,5625	636734,5	958795,5625	742737	837229,8125	671337,3125	834814,375	854170,3125	97035,828125	97297,5234375	84400,0078125	87190,8046875	112466,5546875	92680,2578125	102532,9765625	95830,3125	110836,78125	90771,78125	99730,3515625	95523,46875
O95835	LATS1	Homo sapiens	Serine/threonine-protein kinase LATS1	LATS1_HUMAN	3	3	3	False	1	NaN	NaN	NaN	1,4178354740142822	NaN	NaN	0,5393219590187073	NaN	NaN	0,10989585518836975	2,0961174964904785	16617,4140625	7603,27685546875	7635,32568359375	NaN	6731,14892578125	5176,13916015625	16337,6025390625	9630,8623046875	5277,07470703125	NaN	7905,28662109375	10681,3271484375
O95841	ANGPTL1	Homo sapiens	Angiopoietin-related protein 1	ANGL1_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	277439,625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1135,359130859375	NaN
O95861	BPNT1	Homo sapiens	3'(2'),5'-bisphosphate nucleotidase 1	BPNT1_HUMAN	12	12	14	False	492356,875	536053	433701,8125	381907,5	597087,25	463229,53125	374768,84375	416049,59375	439651,3125	449754,6875	446565,71875	380918,65625	134899,046875	164524,5	127599,1796875	131936,890625	159554,5	143972,46875	120674,2421875	114799,078125	143799,390625	125893,3515625	132058,21875	105149,4765625
O95864	FADS2	Homo sapiens	Acyl-CoA 6-desaturase	FADS2_HUMAN	13	13	15	False	925560,5625	103702,484375	633046	739241,3125	141179,078125	171316,5	563824,625	853188,9375	109520,9140625	196844,375	248885,0625	383597,875	171694,140625	29499,560546875	128164,7734375	134232,109375	26818,197265625	24866,57421875	117243,8203125	153294,71875	22018,771484375	44232,859375	47539,015625	74797,3828125
O95865	DDAH2	Homo sapiens	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2	DDAH2_HUMAN	10	12	13	False	1128623,25	1770558,25	1217581,25	1197809,375	1738911,75	1329515,125	1073626	1033605,625	1336185,125	1296822,875	1302472,375	1039309,9375	166155,5625	266430,9375	193824,6875	187729,25	250101,78125	218155,53125	160997,125	158211,890625	242221,59375	211537,21875	206090,953125	156511,71875
O95870	ABHD16A	Homo sapiens	Phosphatidylserine lipase ABHD16A	ABHGA_HUMAN	19	19	20	False	767567,75	238569,203125	434167,25	889895,4375	336917,40625	260220,734375	501849,3125	565586,6875	309750,8125	358302,125	414150,90625	692129,25	195846,28125	44475,93359375	113583,5	228684,71875	66305,4921875	47664,71484375	100495,7265625	120015,296875	39657,7265625	75606,6640625	80807,828125	129539,3828125
O95873	C6orf47	Homo sapiens	Uncharacterized protein C6orf47	CF047_HUMAN	2	2	2	True	178677	139733,65625	109741,796875	226312,765625	65502,6796875	NaN	68517,1484375	107622,2265625	88400,890625	153381,546875	78383,1953125	132699,875	23071,15234375	9230,2890625	18746,3203125	27514,712890625	10393,0849609375	NaN	951,6943359375	7897,73876953125	6797,8603515625	11062,9033203125	5971,84912109375	12991,734375
O95881	TXNDC12	Homo sapiens	Thioredoxin domain-containing protein 12	TXD12_HUMAN	8	9	10	False	703034,125	1690839,125	1042312,25	911418,375	1644479,875	983146,6875	552130,375	779597,5	1519897,25	1446591,5	1384800,5	1292454,375	285766,875	527046,5625	361062,625	363826,15625	472854,28125	436466,4375	263039,875	361049,78125	538464,6875	520037,40625	432667,96875	363567,84375
O95897	OLFM2	Homo sapiens	Noelin-2	NOE2_HUMAN	2	2	2	False	30828,220703125	8427,6826171875	590,61474609375	19943,677734375	22483,861328125	NaN	8731,12109375	15383,650390625	18534,11328125	29431,96484375	16546,56640625	32353,55859375	10523,6142578125	6796,54541015625	6713,10595703125	13851,6123046875	9636,1318359375	7433,76220703125	13458,9970703125	4827,65869140625	6038,310546875	20528,609375	10287,37890625	4602,71142578125
O95905;O95905-3	ECD	Homo sapiens	Protein ecdysoneless homolog;Isoform 3 of Protein ecdysoneless homolog	ECD_HUMAN	8	8	8	False	226800,53125	180188,46875	186663,65625	182918,09375	185066,171875	138723,15625	289331,78125	206989,3125	92108,6015625	106068,90625	121390,4296875	108156,0546875	12888,4189453125	10402,20703125	10039,6865234375	10135,599609375	10697,8779296875	11415,837890625	9377,5712890625	9278,7607421875	7635,88427734375	8852,5166015625	8155,29345703125	7459,5986328125
O95926	SYF2	Homo sapiens	Pre-mRNA-splicing factor SYF2	SYF2_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	632,2866821289062	718,6569213867188	1214,6142578125	NaN	NaN	NaN	1453,2606201171875	526,3154296875	809,7584838867188	NaN
O95965	ITGBL1	Homo sapiens	Integrin beta-like protein 1	ITGBL_HUMAN	9	9	12	False	77464,21875	129689,703125	137201,90625	107134,2890625	150568,375	164063,140625	94508,4609375	130465,15625	140388	124230,796875	156791,21875	136663,765625	9356,166015625	18427,7890625	18789,068359375	13491,859375	20890,353515625	21259,654296875	14318,1826171875	19976,1015625	20693,72265625	18043,234375	22155,888671875	20331,783203125
O95967	EFEMP2	Homo sapiens	EGF-containing fibulin-like extracellular matrix protein 2	FBLN4_HUMAN	5	5	5	False	40897,77734375	151153,0625	131064,6484375	87201,203125	161155,234375	86622,8359375	177291,421875	150499,796875	225211,875	132715,484375	128888,4921875	151019,09375	2460,530029296875	7731,27294921875	6804,88134765625	3869,81005859375	3958,589111328125	8779,14453125	4465,77099609375	12281,2490234375	10224,0654296875	6416,96875	9281,478515625	12800,4970703125
O95980	RECK	Homo sapiens	Reversion-inducing cysteine-rich protein with Kazal motifs	RECK_HUMAN	24	25	26	False	1875284,75	1345507,375	2003725,625	2536131,75	1595066,625	1351257,25	2015389,125	2255036	1607255	1917395,75	1822674,75	2303634,25	401937,71875	287959,5625	445828	519865,0625	298066,59375	300523,09375	416529,53125	485775,78125	312402,28125	417275,28125	381351,21875	479462,09375
O95983;O95983-2	MBD3	Homo sapiens	Methyl-CpG-binding domain protein 3;Isoform 2 of Methyl-CpG-binding domain protein 3	MBD3_HUMAN	1	1	1	False	NaN	1	NaN	1,175864577293396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1609,8109130859375	1237,442138671875	NaN	1773,2996826171875	2291,82080078125	1594,6488037109375	1275,758056640625	1160,889892578125	1690,32666015625	1087,6065673828125	1054,1573486328125	815,3575439453125
O95985	TOP3B	Homo sapiens	DNA topoisomerase 3-beta-1	TOP3B_HUMAN	6	6	6	False	78025,5390625	35630,6328125	37555,046875	48082,0625	39585,44140625	55393,68359375	76853,8359375	32663,453125	17182,427734375	40469,01953125	27894,2578125	34296,84765625	4409,41455078125	2479,897216796875	2559,7451171875	4116,34716796875	3141,206298828125	3333,552001953125	3323,423828125	3107,078369140625	3096,537353515625	3928,659423828125	3822,304931640625	2248,518798828125
O95989	NUDT3	Homo sapiens	Diphosphoinositol polyphosphate phosphohydrolase 1	NUDT3_HUMAN	4	4	4	False	137195,203125	203319,265625	150686,890625	126216,578125	190910,171875	238649,375	150255,515625	140288,65625	144761,125	151117,890625	114161,96875	150437,6875	45635,55859375	44887,58984375	43589,3984375	40659,1953125	42441,31640625	45696,51953125	49019,5390625	44542,6328125	48550,26953125	41618,7578125	42126,96875	40877,50390625
O95999	BCL10	Homo sapiens	B-cell lymphoma/leukemia 10	BCL10_HUMAN	8	8	8	False	105929,5625	127262,328125	115764,265625	169886,3125	147162,296875	123884,953125	205546,8125	207113,25	91341,671875	149164,765625	146851,421875	109662,2109375	23281,615234375	30477,453125	22321,048828125	22216,056640625	23660,322265625	24402,3671875	28997,568359375	24650,7265625	30656,173828125	26654,181640625	25363,544921875	20527,03515625
O96000	NDUFB10	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	NDUBA_HUMAN	9	9	10	True	1402877,75	1092249,5	722622,6875	1340131,5	845051,8125	513221,0625	705667,6875	692447,4375	714354,0625	522625,125	730091,0625	367497,21875	363801,28125	252866,828125	192844,078125	343332,375	237501,71875	166228,515625	194678,328125	175538	177705,53125	133269,421875	164208,28125	127648,0625
O96005	CLPTM1	Homo sapiens	Cleft lip and palate transmembrane protein 1	CLPT1_HUMAN	9	9	9	False	811379,375	108857,0390625	432268,8125	830305,625	229595,6875	244217,65625	445806	642967	140517,421875	399248,40625	448683,53125	796163,625	152913,71875	26609,201171875	132894,75	151143,5	39780,53515625	45090,08984375	115224,203125	141563,34375	34171,08984375	80542,140625	96037,2421875	180145,703125
O96006	ZBED1	Homo sapiens	E3 SUMO-protein ligase ZBED1	ZBED1_HUMAN	3	3	3	False	20394,40234375	48858,390625	31689,298828125	86013,8828125	43978,61328125	14089,9775390625	2,539607048034668	NaN	20303,85546875	6322,8291015625	9233,625	50696,12109375	7985,50341796875	12646,01171875	7624,8134765625	10073,45703125	9668,7724609375	13048,34375	8333,8603515625	9024,6669921875	10533,5546875	9012,0654296875	7429,10107421875	7649,75927734375
O96007	MOCS2	Homo sapiens	Molybdopterin synthase catalytic subunit	MOC2B_HUMAN	2	2	2	False	11188,396484375	82289,796875	117463,609375	116716,53125	154430,421875	18037,236328125	58777,66796875	66382,65625	101346,8046875	65122,89453125	100860,796875	111819,953125	2584,796630859375	9464,8125	16916,40234375	11009,994140625	20875,03125	7248,97607421875	12313,390625	12809,2177734375	11815,07421875	7033,06982421875	12943,5380859375	10950,251953125
O96008	TOMM40	Homo sapiens	Mitochondrial import receptor subunit TOM40 homolog	TOM40_HUMAN	13	14	14	False	1464240,25	642018,4375	874742,25	1655412,875	752309,375	252255,734375	1148335,5	1226904,875	634129,625	671680,1875	635493,25	1138132,875	188277,65625	83816,4140625	116613,09375	191382,5625	90645,5	29904,259765625	118919,8203125	140365,578125	75699,078125	73110,234375	80135,8515625	120870,3359375
O96011;O96011-2	PEX11B	Homo sapiens	Peroxisomal membrane protein 11B;Isoform 2 of Peroxisomal membrane protein 11B	PX11B_HUMAN	6	6	6	False	248132,40625	100190,8359375	152877,9375	301963,5	160431,25	85684,9140625	253441,859375	228968,125	114184,09375	157648,4375	189972,765625	369334,84375	20993,533203125	9031,1337890625	25403,140625	35228,21484375	12771,8720703125	4946,64599609375	22736,697265625	20542,15234375	8445,044921875	15171,1201171875	16308,4775390625	29631,955078125
O96013	PAK4	Homo sapiens	Serine/threonine-protein kinase PAK 4	PAK4_HUMAN	13	13	13	False	137362,28125	57801,2578125	87724,1015625	111231,1640625	107031,1015625	81351,4140625	172869,140625	93277,765625	69925,2265625	113772,109375	73652,3828125	149844,609375	15102,9755859375	12474,234375	15777,7646484375	15904,7841796875	13331,208984375	16517,703125	27214,119140625	24227,8515625	17096,16015625	17719,501953125	20913,76953125	21983,8671875
O96017;O96017-9	CHEK2	Homo sapiens	Serine/threonine-protein kinase Chk2;Isoform 9 of Serine/threonine-protein kinase Chk2	CHK2_HUMAN	4	4	4	True	404139,9375	447804,375	341434,125	279229,40625	308307,65625	196275,03125	455521,53125	619523,8125	139632,515625	322042,78125	383711,46875	330056,03125	26585,857421875	23199,2890625	17560,15625	21962,42578125	9386,0703125	20778,5390625	28535,63671875	22641,064453125	22050,005859375	12997,248046875	9295,275390625	17998,138671875
O96019	ACTL6A	Homo sapiens	Actin-like protein 6A	ACL6A_HUMAN	15	15	16	False	358752,59375	400293,5	464201,28125	481753,46875	502614,40625	480944,59375	457284,0625	380042,0625	382287,3125	433380,1875	333302,625	358118,125	93624,1796875	100610,828125	93087,9609375	87363,34375	118797,78125	108986,1796875	104086,4296875	83752,53125	91322,3203125	88045,4296875	87458,1328125	81441,890625
O96033	MOCS2	Homo sapiens	Molybdopterin synthase sulfur carrier subunit	MOC2A_HUMAN	2	2	2	False	315456,03125	310431,28125	312265,71875	369864,25	312193,8125	310518,34375	407750,53125	341827,03125	341754,84375	312397,8125	243028,328125	325829,40625	26252,966796875	38145,6328125	30695,279296875	29134,02734375	33053,83203125	34160,078125	40389,05078125	29413,798828125	35094,97265625	38526,4140625	34000,3671875	27640,28515625
P00156	MT-CYB	Homo sapiens	Cytochrome b	CYB_HUMAN	1	1	1	False	230813,828125	64249,64453125	88464,6796875	145253,265625	9101,96484375	117137,6015625	277521,71875	93673,609375	63985,6796875	100973,265625	11955,462890625	104856,53125	71217,734375	5087,275390625	47572,73046875	102075,859375	7668,251953125	12786,931640625	54226,92578125	75990,5	7581,716796875	22541,3984375	15998,53515625	51597,9375
P00167;P00167-2	CYB5A	Homo sapiens	Cytochrome b5;Isoform 2 of Cytochrome b5	CYB5_HUMAN	7	7	9	False	4242674	2503716,25	3154070,25	4178131,75	2756006,75	2612268	2689296	2825392,5	2604112	2497427,25	3090011	2366175,75	423139,21875	256547,484375	264673,21875	383986,875	247555,859375	244408,640625	254550,90625	280227,71875	266884,84375	253338,0625	283428,65625	235575,46875
P00325	ADH1B	Homo sapiens	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	ADH1B_HUMAN	27	27	39	True	149235472	169364608	129760592	147380752	174648720	160701520	106859552	86468656	100503136	105468248	119886240	86632688	23403358	25825386	19826646	21210414	24962852	25182432	14762447	13271667	15208429	16208019	16078527	11810292
P00326	ADH1C	Homo sapiens	Alcohol dehydrogenase 1C	ADH1G_HUMAN	2	2	3	True	493304,59375	429100,65625	317941,125	309115,03125	177496,453125	208341,125	209785,21875	253758,140625	50157,0390625	92481,0078125	133276,09375	162640,984375	39039,8125	40118,75390625	24515,193359375	17980,9453125	15857,880859375	14333,029296875	8151,34375	18873,51171875	6640,60302734375	7737,984375	11453,015625	8476,6533203125
P00338	LDHA	Homo sapiens	L-lactate dehydrogenase A chain	LDHA_HUMAN	30	35	46	False	80905608	113788928	85254256	83544680	108494680	93958056	75281000	70652272	84665784	74399752	88558744	71837992	16753576	22964880	16204001	15306084	20347330	18196460	14914733	13709122	16590143	14734853	17044720	13947041
P00367	GLUD1	Homo sapiens	Glutamate dehydrogenase 1, mitochondrial	DHE3_HUMAN	32	35	46	False	5875259	7626342	6618035,5	6732217,5	7608600	6387984,5	3942377	4819762,5	6794664	5507450	6477013,5	5374376,5	1368684,625	1913697,625	1515337,5	1542392,125	1906149,75	1446651,5	845962,0625	1077611,125	1665975,125	1404791,75	1600833,5	1304703,375
P00374;Q86XF0	DHFR;DHFR2	Homo sapiens	Dihydrofolate reductase;Dihydrofolate reductase 2, mitochondrial	DYR_HUMAN;DYR2_HUMAN	1	1	1	True	6750,41796875	23008,619140625	24649,38671875	NaN	5352,09375	17896,3984375	27896,13671875	28119,365234375	44643,66796875	NaN	22244,591796875	NaN	1354,57666015625	3789,712158203125	2329,569580078125	NaN	832,0929565429688	1872,9837646484375	5004,1142578125	4347,8642578125	2726,61474609375	NaN	1102,8092041015625	NaN
P00387;P00387-2;P00387-3	CYB5R3	Homo sapiens	NADH-cytochrome b5 reductase 3;Isoform 2 of NADH-cytochrome b5 reductase 3;Isoform 3 of NADH-cytochrome b5 reductase 3	NB5R3_HUMAN	23	26	39	False	31331548	6358907,5	28218628	44995068	9140397	9840703	33292264	42220484	9194697	22453414	23405662	49210692	4478260	775620,375	3916441,5	5880950,5	1160643,875	1478053,25	4914639,5	5544127	1217998,75	3287626,75	3158526,5	6467833
P00390;P00390-2	GSR	Homo sapiens	Glutathione reductase, mitochondrial;Isoform Cytoplasmic of Glutathione reductase, mitochondrial	GSHR_HUMAN	26	28	34	False	2116601,75	2807308,75	2157272,75	2436880,5	2842188,25	2454403	1554188,125	1894118,625	2228081	2336192,75	2219448,25	1875282,875	572930,5625	771718,125	613876,5625	638431,8125	731066,375	689275,9375	491910,03125	494711,625	653420,75	666467,5625	612492,3125	478739,6875
P00395	MT-CO1	Homo sapiens	Cytochrome c oxidase subunit 1	COX1_HUMAN	2	6	6	False	340278,0625	7616,30810546875	210526,515625	308770,9375	40609,8125	17687,330078125	238660,890625	194176,40625	15755,9765625	72591,6484375	56054,89453125	150075,328125	31194,82421875	1204,220703125	16623,1640625	27091,1171875	3278,97607421875	1499,933837890625	12015,4638671875	13598,80078125	2788,683837890625	6993,97802734375	6216,01416015625	13135,6201171875
P00403	MT-CO2	Homo sapiens	Cytochrome c oxidase subunit 2	COX2_HUMAN	7	10	12	False	7706650	1654889,875	5227985,5	9709953	1582742,125	1112613,625	4165073	5346684,5	1224349,625	2736088	2313185,75	5055576,5	928925,75	257990,078125	716894,875	1236497,5	214860,609375	193730,8125	529604,8125	697099,3125	178378,921875	490349,46875	350547,625	682407,4375
P00414	MT-CO3	Homo sapiens	Cytochrome c oxidase subunit 3	COX3_HUMAN	1	1	2	False	1725555,25	482717,375	1389406,875	1516943,25	718815,5625	222760,265625	887408,75	1042835,8125	606050,6875	845625	1167050,25	1243809,5	146580,625	29913,9140625	101403,859375	117123,15625	24701,677734375	16609,947265625	69123,078125	77706,6875	27432,615234375	65371,984375	42951,63671875	64745,484375
P00441	SOD1	Homo sapiens	Superoxide dismutase [Cu-Zn]	SODC_HUMAN	10	10	13	False	3270479,75	4233662	2861283	3201519,25	4937916,5	3969846,5	4713278,5	3700507,75	3944558,25	4323477	4124673,25	4315952,5	324749,6875	394842,75	292874,1875	302088,4375	420988,21875	359457,21875	358586,84375	355582,28125	403722,125	427830,5625	397370,28125	391120,875
P00450	CP	Homo sapiens	Ceruloplasmin	CERU_HUMAN	4	4	4	False	NaN	7752,7099609375	16625,638671875	NaN	NaN	13728,4462890625	NaN	48194,375	81725,5703125	NaN	23429,9296875	60065,9140625	NaN	4286,52978515625	6104,93359375	NaN	1339,064697265625	5265,0927734375	NaN	11726,974609375	19856,2890625	NaN	8552,5849609375	18189,21875
P00491	PNP	Homo sapiens	Purine nucleoside phosphorylase	PNPH_HUMAN	15	15	16	False	823190	805179,375	642409,5	941666,375	1025234,0625	718799,4375	775074,375	662889,8125	833007,4375	602343,9375	768187	680175,5625	139535,15625	153982,109375	111775,015625	123164,390625	152690,25	119529,2109375	145567,109375	110780,375	136569,0625	124511,671875	130984,796875	100252,1171875
P00492	HPRT1	Homo sapiens	Hypoxanthine-guanine phosphoribosyltransferase	HPRT_HUMAN	8	8	10	False	638210,8125	787346,5625	657509,8125	723146,375	758618,375	838128,3125	778053,125	838901,375	837898,0625	613515,4375	737982,9375	615541,875	157330,734375	178562,421875	152747,15625	136369,421875	171226,109375	169326,1875	181220,671875	159324,25	191390,609375	151427,59375	166464,15625	146456,25
