PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS1Quantity	[2] ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS1Quantity	[3] ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS1Quantity	[4] ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS1Quantity	[5] ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS1Quantity	[6] ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS1Quantity	[7] ASC_WT_WCL_Light_1.raw.PG.MS1Quantity	[8] ASC_WT_WCL_Light_2.raw.PG.MS1Quantity	[9] ASC_WT_WCL_Light_3.raw.PG.MS1Quantity	[10] ASC_WT_WCL_WO_1.raw.PG.MS1Quantity	[11] ASC_WT_WCL_WO_2.raw.PG.MS1Quantity	[12] ASC_WT_WCL_WO_3.raw.PG.MS1Quantity	[1] ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS2Quantity	[2] ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS2Quantity	[3] ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS2Quantity	[4] ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS2Quantity	[5] ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS2Quantity	[6] ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS2Quantity	[7] ASC_WT_WCL_Light_1.raw.PG.MS2Quantity	[8] ASC_WT_WCL_Light_2.raw.PG.MS2Quantity	[9] ASC_WT_WCL_Light_3.raw.PG.MS2Quantity	[10] ASC_WT_WCL_WO_1.raw.PG.MS2Quantity	[11] ASC_WT_WCL_WO_2.raw.PG.MS2Quantity	[12] ASC_WT_WCL_WO_3.raw.PG.MS2Quantity
P23919	DTYMK	Homo sapiens	Thymidylate kinase	KTHY_HUMAN	18	18	18	False	1263924,25	1471515,75	1470069,375	1242188,625	1243911,75	1205621,75	1425673,375	1387212,375	1307728,5	1051461,125	1238948,25	1367715,125	273234,75	310327,53125	322985,21875	272598,375	303331,90625	286010,03125	315480	324876,25	285678,53125	259322,28125	302390,65625	291024,3125
P23921	RRM1	Homo sapiens	Ribonucleoside-diphosphate reductase large subunit	RIR1_HUMAN	25	25	27	False	284560,96875	207793,828125	166803,34375	277281,90625	210575,5625	179488,40625	353978,53125	197118,9375	154599,765625	490073,96875	233577,59375	238203,25	53919,10546875	44548,70703125	26554,708984375	52325,921875	42507,4609375	33469,56640625	71598,7421875	43649,421875	30982,009765625	97411,4375	51918,3359375	40720,203125
P23942	PRPH2	Homo sapiens	Peripherin-2	PRPH2_HUMAN	1	1	1	True	956976,375	1133053,625	2117769,25	936738,125	NaN	821991,875	252168,328125	768398,3125	606976,9375	NaN	NaN	428121,1875	2526,43359375	1602,9742431640625	5785,8935546875	NaN	NaN	2651,12841796875	159,83042907714844	13,277883529663086	NaN	NaN	NaN	97,2388687133789
P24043	LAMA2	Homo sapiens	Laminin subunit alpha-2	LAMA2_HUMAN	15	15	15	False	17557,95703125	17162,1796875	13975,2421875	9615,544921875	14579,083984375	14859,1708984375	9712,453125	6126,2333984375	12276,6748046875	8831,0087890625	16909,015625	10180,65234375	2374,033935546875	2573,32861328125	2364,746337890625	2129,037353515625	2011,2100830078125	2258,806396484375	2456,16015625	2399,083251953125	2511,008056640625	2285,20947265625	1219,9097900390625	2412,27197265625
P24311	COX7B	Homo sapiens	Cytochrome c oxidase subunit 7B, mitochondrial	COX7B_HUMAN	1	1	1	True	93945,8359375	186067,390625	252827,265625	207979,484375	187562,984375	165652,625	148605,203125	118259,90625	75635,4453125	152533,0625	52009,34375	66303,1953125	14560,1435546875	30064,685546875	35230,04296875	36366,3203125	32763,1484375	31282,845703125	24654,892578125	19980,296875	14755,931640625	25345,482421875	13743,8759765625	18492,8046875
P24385	CCND1	Homo sapiens	G1/S-specific cyclin-D1	CCND1_HUMAN	2	2	2	False	33981,5703125	NaN	NaN	112294,859375	30549,787109375	43924,2578125	17481,99609375	327667,75	50188,578125	57760,5703125	NaN	NaN	3297,831787109375	NaN	NaN	3831,103515625	4758,81396484375	2401,65234375	1908,45947265625	2958,132568359375	750,2738037109375	2321,197021484375	NaN	NaN
P24386	CHM	Homo sapiens	Rab proteins geranylgeranyltransferase component A 1	RAE1_HUMAN	17	17	17	False	101981,75	99775,3046875	101666,21875	82456,640625	61383,89453125	69186,1015625	109533,875	92368,140625	115019,3046875	105535,8125	73115,6640625	74968,15625	26492,40625	26999,958984375	23065,162109375	24638,375	19599,7578125	20426,5859375	29714,884765625	24431,921875	27818,501953125	25371,990234375	21469,416015625	21773,796875
P24390	KDELR1	Homo sapiens	ER lumen protein-retaining receptor 1	ERD21_HUMAN	2	2	2	False	NaN	NaN	NaN	2579,690185546875	3733,72998046875	NaN	8744,724609375	NaN	2736,39501953125	9509,4765625	12079,8974609375	6705,91943359375	NaN	NaN	NaN	1203,6295166015625	931,1296997070312	NaN	2121,5126953125	NaN	360,8287658691406	2564,697265625	3,4192965030670166	1162,7772216796875
P24468	NR2F2	Homo sapiens	COUP transcription factor 2	COT2_HUMAN	11	11	12	False	53115,6171875	47664,89453125	57919,60546875	66060,796875	53074,18359375	50380,55078125	40263,08984375	34259,4296875	45412,85546875	50596,17578125	22033,095703125	60110,56640625	8377,19921875	6533,6572265625	7723,341796875	9115,79296875	7963,56103515625	6379,80712890625	6523,7607421875	5393,1396484375	6869,68994140625	13037,9638671875	7205,67138671875	9222,70703125
P24534	EEF1B2	Homo sapiens	Elongation factor 1-beta	EF1B_HUMAN	9	9	12	False	12305262	12163001	10999314	13617105	13343869	13342315	13485628	14079210	11038048	8914162	11756166	10410975	1678779	1560295,375	1443851,875	1684706	1728941,375	1712400	1756039,875	1821121,625	1534291,375	1263326,5	1763264	1422550,875
P24539	ATP5PB	Homo sapiens	ATP synthase F(0) complex subunit B1, mitochondrial	AT5F1_HUMAN	16	17	22	False	913749,875	1310999,375	1591040,875	1723625,125	1626976,125	1855768,25	1510834,25	1498210	897496,3125	1353686,25	1204067,25	1086035,625	184495,84375	260119,640625	333259	328717,0625	314574,1875	365774,28125	309500,90625	322550,28125	187034,359375	268594,09375	266864,8125	226048,984375
P24592	IGFBP6	Homo sapiens	Insulin-like growth factor-binding protein 6	IBP6_HUMAN	4	4	5	False	101919,7734375	103580,359375	92786,3828125	100090,03125	89803,96875	62764,03515625	101876,4453125	70778,4296875	65658,265625	65929,9765625	60732,765625	80394,875	9664,0966796875	13051,3486328125	7626,49267578125	9003,0087890625	10161,6376953125	9792,515625	10859,5693359375	11948,396484375	6472,95556640625	7772,6005859375	13321,552734375	6329,150390625
P24666	ACP1	Homo sapiens	Low molecular weight phosphotyrosine protein phosphatase	PPAC_HUMAN	10	10	11	False	950129,75	1032240,875	863854,25	801347,4375	834910,25	985858,8125	830482,3125	690510,625	954162,9375	802255,25	753068,9375	851951	113914,6328125	104082,484375	103269,96875	101854,6171875	101228,3359375	107348,78125	100881,1796875	94326,34375	117865,109375	88972,1171875	115392,4140625	112585,9375
P24666-2	ACP1	Homo sapiens	Isoform 2 of Low molecular weight phosphotyrosine protein phosphatase	PPAC_HUMAN	2	2	2	False	71195,15625	135306,71875	209497,75	24992,3515625	71043,7421875	64070,203125	NaN	8612,314453125	NaN	42007,6875	92744,8515625	126977,1015625	10878,4326171875	10348,91015625	9936,779296875	8261,34375	9939,130859375	8816,2744140625	11105,5986328125	7396,08056640625	13045,9501953125	4695,06494140625	12677,6240234375	10084,3759765625
P24752	ACAT1	Homo sapiens	Acetyl-CoA acetyltransferase, mitochondrial	THIL_HUMAN	15	16	20	False	2539813	3085724	2968549,75	3250660,25	3611829,5	3871432,25	2715755,5	3480109,75	2283839,5	2899129,25	3971718	2788755,5	640134,875	785309,125	752799,625	832417,8125	865707,1875	990636,0625	664309,625	836956,125	592377,3125	651635,8125	963226,625	673155,875
P24821;P24821-4	TNC	Homo sapiens	Tenascin;Isoform 4 of Tenascin	TENA_HUMAN	11	11	11	False	101615,6953125	54759,90234375	58771,765625	75121,6875	84061,8046875	51256,0859375	70591,578125	57324,3203125	67752,1875	68752,6796875	33967,0859375	41946,3046875	9651,931640625	9758,3525390625	7932,5166015625	11254,1884765625	6382,77587890625	6077,11376953125	10606,4267578125	10393,9248046875	4966,43115234375	16493,92578125	6554,0810546875	6848,4833984375
P24844	MYL9	Homo sapiens	Myosin regulatory light polypeptide 9	MYL9_HUMAN	13	18	22	False	2809024,25	2363026	2327378	3010044,25	3008592,25	2565628,5	3108530,5	3102973,75	2778049,75	3510604,75	3079897,75	3203356,75	577664,125	491071,375	477423,125	642009,375	598618,5	508443,1875	687340,6875	682939	586852,25	807048,125	711958,375	739796,1875
P24863;P24863-2	CCNC	Homo sapiens	Cyclin-C;Isoform 2 of Cyclin-C	CCNC_HUMAN	1	1	1	False	122033,171875	92069,0625	163371,328125	139402,21875	130864,140625	213920,515625	138493,78125	80676,171875	182587,78125	106552,984375	77398,3515625	145100,09375	5009,5478515625	4889,2822265625	6180,81298828125	3959,6513671875	6246,77197265625	6210,60498046875	4248,6123046875	4528,99609375	5301,22998046875	4858,2421875	6075,732421875	6615,626953125
P24928	POLR2A	Homo sapiens	DNA-directed RNA polymerase II subunit RPB1	RPB1_HUMAN	56	57	62	False	152271,296875	144602,375	138326,015625	128431,9765625	133538,96875	120855,71875	154062,703125	123833,34375	130570,578125	140933,34375	99368,296875	167988,015625	314737,46875	334231,9375	309390,3125	298494,9375	304880,125	293901,5625	331599,75	309070,25	310481,46875	350940,96875	267436,09375	375829,125
P24941	CDK2	Homo sapiens	Cyclin-dependent kinase 2	CDK2_HUMAN	12	12	13	False	117153,21875	107136,0546875	88547,2421875	97895,8046875	133165,96875	103103,546875	114249,859375	111135,234375	101797,3203125	113391,6015625	107393,8984375	51209,3671875	27861,07421875	30053,888671875	23049,466796875	32511,08203125	24525,0703125	16856,4609375	33796,5703125	36367,02734375	29147,03125	37015,76953125	36177,9921875	27151,859375
P25054;P25054-2;P25054-3	APC	Homo sapiens	Adenomatous polyposis coli protein;Isoform 2 of Adenomatous polyposis coli protein;Isoform 1B of Adenomatous polyposis coli protein	APC_HUMAN	3	3	3	False	30259,341796875	17975,89453125	11887,1748046875	25746,69140625	34039,984375	29741,669921875	15322,6689453125	24849,119140625	30599,89453125	22592,25390625	24848,498046875	31064,564453125	4551,390625	3929,164794921875	4122,07568359375	3188,119384765625	4891,9091796875	3408,14306640625	3194,835693359375	4100,39208984375	4988,5966796875	4312,61328125	5128,162109375	4290,98876953125
P25092	GUCY2C	Homo sapiens	Heat-stable enterotoxin receptor	GUC2C_HUMAN	1	1	1	False	191969,953125	NaN	205950,59375	NaN	74072,25	24684,599609375	281286,96875	NaN	187289,78125	62653,73046875	NaN	28985,87890625	2254,791015625	NaN	6275,07666015625	NaN	3046,933837890625	3178,600341796875	826,72607421875	NaN	4283,41162109375	6024,61279296875	NaN	1535,786376953125
P25098	GRK2	Homo sapiens	Beta-adrenergic receptor kinase 1	ARBK1_HUMAN	18	18	21	False	65864,0234375	73204,484375	54450,23828125	56452,26171875	46897,36328125	40889,11328125	60828,5546875	56703,61328125	70439,3203125	53795,6796875	35299,46875	55544,73046875	23589,708984375	23463,53125	25309,486328125	21498,18359375	18470,025390625	19769,216796875	22158,302734375	21611,484375	24800,666015625	21192,572265625	19696,888671875	21729,638671875
P25116	F2R	Homo sapiens	Proteinase-activated receptor 1	PAR1_HUMAN	2	2	2	True	43370,28125	33085,421875	94455,2890625	84446,015625	13626,9482421875	40164,6640625	63104,13671875	18142,556640625	52050,1796875	96603,375	66770,125	102294,546875	9243,1162109375	8291,6025390625	7890,5322265625	13974,9013671875	12469,8505859375	12247,0927734375	18405,427734375	10939,36328125	17627,814453125	36089,89453125	18229,9453125	23940,703125
P25205;P25205-2	MCM3	Homo sapiens	DNA replication licensing factor MCM3;Isoform 2 of DNA replication licensing factor MCM3	MCM3_HUMAN	38	38	42	True	322752,40625	347260,59375	328749,96875	367601,15625	384713,625	300574,875	504408,40625	491405,8125	473464,1875	535256,8125	436370,125	535496,0625	124176,34375	138889,796875	130641,28125	139282,203125	151037,078125	125009,90625	183878,890625	194578,453125	183685,90625	208618,578125	198621,0625	201514,046875
P25208	NFYB	Homo sapiens	Nuclear transcription factor Y subunit beta	NFYB_HUMAN	2	2	2	False	24327	25764,4765625	12135,37109375	15370,2177734375	15690,896484375	22759,76953125	12208,9443359375	10020,626953125	11991,1884765625	12763,4091796875	NaN	10840,5693359375	7759,4267578125	4154,2197265625	5841,8583984375	8145,18798828125	5000,0078125	20472,4296875	1643,105224609375	4932,33447265625	7888,9228515625	2446,386474609375	8362,3046875	1609,10302734375
P25325-2	MPST	Homo sapiens	Isoform 2 of 3-mercaptopyruvate sulfurtransferase	THTM_HUMAN	9	9	10	False	640872,3125	649626,875	599467,375	473548	547696,25	448556,625	431615,0625	566612,5625	539698	318096,5625	409794,125	451343,875	106495,546875	103561,6484375	95758,828125	86428,5546875	88687,625	89363,828125	75677,2265625	87676,5078125	95952,8046875	58820,79296875	91661,7578125	81784,65625
P25391	LAMA1	Homo sapiens	Laminin subunit alpha-1	LAMA1_HUMAN	27	27	27	True	117267,6640625	93058,3671875	100302,5546875	58650,93359375	62099,52734375	49226,453125	85784,46875	62937,67578125	81861,6875	76243,1875	47425,0625	68556,625	10020,724609375	7533,44482421875	8335,2138671875	6631,9208984375	4606,85302734375	5027,79150390625	7846,9208984375	6661,87255859375	6993,818359375	7713,5556640625	4862,73974609375	5995,56103515625
P25398	RPS12	Homo sapiens	40S ribosomal protein S12	RS12_HUMAN	11	12	15	False	5259701	5930866	4923321,5	4783055	5551369	5009146,5	5181863	6533064,5	4931211	4705375	6170726	5088697	1092693,125	1163250,625	1002447,9375	1043428,8125	1073591,25	1099197	1117007,375	1301204,125	1160870,875	992633,25	1445946,375	1150560,25
P25440;P25440-2	BRD2	Homo sapiens	Bromodomain-containing protein 2;Isoform 2 of Bromodomain-containing protein 2	BRD2_HUMAN	14	14	14	False	71179,046875	55651,39453125	65121,06640625	38972,76953125	58041,7109375	52948,80078125	72494,078125	70867,4296875	45079,56640625	81909,71875	54465,75	62395,57421875	16042,68359375	13389,4892578125	12916,8310546875	13807,1162109375	11765,7255859375	11660,4580078125	16718,97265625	15185,7646484375	15187,26171875	14569,7529296875	10120,69921875	15795,7861328125
P25445;P25445-6	FAS	Homo sapiens	Tumor necrosis factor receptor superfamily member 6;Isoform 6 of Tumor necrosis factor receptor superfamily member 6	TNR6_HUMAN	8	8	8	False	248138,078125	277343,90625	219297,8125	344498,5	219694,890625	219317,03125	192625,703125	137648,640625	119441,0078125	289878,5	146004,328125	171355,640625	27802,427734375	30229,0703125	26938,384765625	38082,5078125	27387,330078125	35919,80078125	34780,35546875	22668,9140625	24970,01171875	52069,43359375	34495,83984375	34403,30859375
P25490	YY1	Homo sapiens	Transcriptional repressor protein YY1	TYY1_HUMAN	14	14	14	True	98625,46875	100434,4609375	107178,3125	93796,0625	92095,59375	91082,46875	84683,1640625	84533,8984375	82034,4453125	146261,359375	124197,9453125	118556,234375	22487,30859375	22618,912109375	22931,123046875	21628,330078125	24845,32421875	25940,734375	23612,4453125	21190,978515625	26200,95703125	36469,05859375	35483,53515625	33046,609375
P25685	DNAJB1	Homo sapiens	DnaJ homolog subfamily B member 1	DNJB1_HUMAN	20	20	21	False	1045831,75	962651	1210771,875	904249,1875	892959	922960,6875	1006676	1076112,625	1050323,25	865178,875	847262,3125	994691,1875	208070,546875	196336,484375	220702,4375	178946,546875	179828,40625	180946,09375	197147,109375	207405,65625	207296,34375	150624,015625	201872,28125	198184,046875
P25686	DNAJB2	Homo sapiens	DnaJ homolog subfamily B member 2	DNJB2_HUMAN	10	10	10	False	156261,25	232434,578125	148932,203125	134440,71875	135465,953125	147302,03125	182740,234375	185168,390625	128414,4375	127848,828125	103852,015625	149628,890625	38746,328125	42017,8046875	36341,828125	29633,9375	35267,96484375	36825,0703125	35644,1640625	34330,9921875	37910,4375	26110,650390625	33577,1953125	32117,072265625
P25705	ATP5F1A	Homo sapiens	ATP synthase subunit alpha, mitochondrial	ATPA_HUMAN	40	44	55	False	14062476	17210280	17348762	15312136	15523478	19260090	13514784	15062437	11813383	13299361	13407248	12350946	3419209,75	4252184,5	4321340	3986968,75	4096241,75	4942850,5	3667638,25	3978412,75	3199350,75	3573904	4007932,25	3203418,5
P25705-2	ATP5F1A	Homo sapiens	Isoform 2 of ATP synthase subunit alpha, mitochondrial	ATPA_HUMAN	1	1	1	True	58351,5546875	62282,07421875	62221,30078125	61424,20703125	23557,576171875	38434,12109375	53745,09375	44145,8984375	56999,015625	334219,59375	56079,36328125	219010,78125	31172,2734375	20757,36328125	28630,73828125	26087,8359375	24896,927734375	28175,822265625	19330,552734375	26208,25390625	26190,06640625	58486,54296875	23541,70703125	87130,546875
P25774;P25774-2	CTSS	Homo sapiens	Cathepsin S;Isoform 2 of Cathepsin S	CATS_HUMAN	1	1	1	False	86936,296875	NaN	46762,04296875	91560,234375	38912,9453125	48926,63671875	46387,234375	33682,59375	77393,65625	105274,65625	96836,859375	70722,59375	6665,7900390625	NaN	4844,26220703125	6175,869140625	6914,953125	4523,0205078125	7217,244140625	6273,09130859375	6204,95458984375	7027,48681640625	10533,421875	6838,97802734375
P25786;P25786-2	PSMA1	Homo sapiens	Proteasome subunit alpha type-1;Isoform Long of Proteasome subunit alpha type-1	PSA1_HUMAN	21	26	34	False	2530856	2765289,25	2367239,5	2396424	2437961,25	2507067,75	2543515	2314346,25	2484057,75	1900801,5	2215857,25	2227377	457768,75	514847,03125	418128,34375	426758,125	474102,625	460344,6875	413047,03125	417656,625	452937,5	390526,1875	447515,90625	442082,3125
P25787	PSMA2	Homo sapiens	Proteasome subunit alpha type-2	PSA2_HUMAN	14	15	19	False	4423943	4648236,5	4339511	4049721,5	4260513	4538605,5	4044888,25	4305993	4282537	3270045	4488025	3595110	629725,0625	662296,875	596612,1875	596714,1875	626947,25	627904,5625	590629,625	599697,125	640861,8125	491660,375	676055,4375	535004,9375
P25788;P25788-2	PSMA3	Homo sapiens	Proteasome subunit alpha type-3;Isoform 2 of Proteasome subunit alpha type-3	PSA3_HUMAN	11	12	15	False	4933905,5	4335440,5	3800392,5	4108565	4181354,25	3737092,25	4785158	4250825,5	4152299,5	3880802,5	4044568,5	4659441,5	835831,6875	868475,3125	771040,5625	752249,25	785329,5	774435,9375	889959,4375	837885,9375	850131	795201,25	806873,875	903363,3125
P25789	PSMA4	Homo sapiens	Proteasome subunit alpha type-4	PSA4_HUMAN	11	11	15	True	4960132,5	5656636	3908942,5	4531293	4456380	4759261	4450155	4454252,5	3530978,5	2881762,5	3979307,5	2031832,5	871494,625	905611,6875	725724,25	795552,25	837755,8125	788496,9375	975333,4375	736845	691073,25	459897,28125	727104,5625	427047,34375
P25940	COL5A3	Homo sapiens	Collagen alpha-3(V) chain	CO5A3_HUMAN	10	10	10	True	142525,5625	154795,140625	196985,03125	93513,390625	91456,3671875	94039,6953125	200820,25	256591,4375	224804,78125	114444,6953125	99971,0703125	93278,1640625	11949,8564453125	10551,6943359375	12238,9560546875	6469,29345703125	4924,2822265625	6426,068359375	8576,427734375	13611,9677734375	11553,2080078125	6516,68408203125	4386,740234375	6415,43994140625
P25963	NFKBIA	Homo sapiens	NF-kappa-B inhibitor alpha	IKBA_HUMAN	4	4	4	False	57847,1640625	74694,7421875	45246,68359375	58184,3984375	55509,3125	46528,03515625	54045,40234375	62696,4140625	68087,375	32714,1640625	61987,82421875	70277,1953125	21185,4140625	19092,21484375	19727,322265625	16388,44921875	17087,751953125	17635,70703125	15797,5283203125	19372,76953125	19105,85546875	14910,9404296875	23556,4453125	17424,400390625
P26006	ITGA3	Homo sapiens	Integrin alpha-3	ITA3_HUMAN	25	26	31	True	1181258,25	1926747,375	1836443,125	1886815,375	2108621,25	2724788,25	1391394,875	1359060,5	1093506,75	1449431,875	1504092	1423217,75	346586,53125	595952,875	562831,9375	633121,6875	700654,625	857126,3125	439459,875	473198,75	383539,3125	436859,28125	574030,875	441578,78125
P26010;P26010-2	ITGB7	Homo sapiens	Integrin beta-7;Isoform Short of Integrin beta-7	ITB7_HUMAN	1	1	1	True	72641,9296875	57004,90625	NaN	NaN	87138,2421875	NaN	96620,921875	74024,8984375	65322,70703125	111089,6171875	105076,1953125	NaN	914,5686645507812	710,662109375	NaN	NaN	1140,920166015625	NaN	1611,8502197265625	1931,412841796875	1499,6146240234375	1090,8489990234375	3179,21337890625	NaN
P26022	PTX3	Homo sapiens	Pentraxin-related protein PTX3	PTX3_HUMAN	11	11	11	False	250223,96875	199572,234375	251960,796875	212206,46875	161457,671875	239515,015625	235654,296875	175540,734375	166915,921875	191640,59375	139349,578125	258317,328125	42239,78125	40790,5078125	46835,64453125	36318,703125	31032,9296875	42240,4453125	54427,0546875	40091,703125	43429,9921875	48115,58984375	37035,23046875	49464,33984375
P26038	MSN	Homo sapiens	Moesin	MOES_HUMAN	46	51	72	False	20204050	18897192	15943819	15823737	15398533	16003591	15617683	16464527	15993328	15981763	17128360	16165970	2838677	2605787,5	2295880	2285806	2296141,25	2421913,75	2338280,25	2562439,75	2362033	2428316,5	2717453,75	2412429
P26196	DDX6	Homo sapiens	Probable ATP-dependent RNA helicase DDX6	DDX6_HUMAN	22	23	27	False	758832,125	729147	848464,375	807798	717290,8125	677304,375	877482,125	773457,9375	721262,375	824762,4375	699463,25	773697,5625	250645,734375	235020,484375	262274,5625	231933,296875	231461,96875	198164,390625	267196,96875	235217,265625	246245,5625	281428,9375	223404,140625	258567,3125
P26358;P26358-2	DNMT1	Homo sapiens	DNA (cytosine-5)-methyltransferase 1;Isoform 2 of DNA (cytosine-5)-methyltransferase 1	DNMT1_HUMAN	27	27	29	True	64409,203125	35387,5	36576,921875	40074,63671875	29356,0859375	25957,625	73170,6171875	47068,3671875	61713,20703125	134199,203125	48396,25	75532,5546875	25527,677734375	13961,8095703125	14624,4296875	17947,8828125	13698,7412109375	10546,939453125	32043,15234375	24266,1796875	30278,443359375	50633,671875	22967,85546875	35627,21484375
P26367;P26367-2	PAX6	Homo sapiens	Paired box protein Pax-6;Isoform 5a of Paired box protein Pax-6	PAX6_HUMAN	3	3	3	False	NaN	NaN	25325,33984375	41312,96484375	21916,0390625	57672,078125	75254,2265625	65311,9375	44758,015625	55455,4609375	21522,74609375	47508,21484375	NaN	NaN	2634,558837890625	3812,941162109375	2888,9921875	2264,953125	494,9300537109375	1327,6229248046875	2109,1455078125	3201,503662109375	1523,9560546875	4629,642578125
P26368;P26368-2	U2AF2	Homo sapiens	Splicing factor U2AF 65 kDa subunit;Isoform 2 of Splicing factor U2AF 65 kDa subunit	U2AF2_HUMAN	15	16	22	False	2860231,25	2714469,25	2658232	3036568	2891566,75	2933809,5	2765545,25	3192529,75	2962682	2797533,25	3226063	3123622	632123,9375	622172,3125	615512	580842,375	687696,3125	690262,75	653853,625	791039,3125	699921,4375	713664,75	916978,25	755374,1875
P26373	RPL13	Homo sapiens	60S ribosomal protein L13	RL13_HUMAN	16	18	21	False	8655414	8855326	5619490	6656174	6024937,5	7417899,5	10024304	8497705	8592843	9767469	7591300,5	9513345	2186463,25	2332979	1522889,125	1812048,25	1665226,5	1894195,875	2556243,25	2098724,75	2173563,75	2563482,75	2239925,25	2520699,25
P26374	CHML	Homo sapiens	Rab proteins geranylgeranyltransferase component A 2	RAE2_HUMAN	11	11	11	False	150423,375	80939,7890625	119843,1796875	76726,765625	80534,1328125	74769,0859375	80525,6796875	63867,265625	99320,75	97818,7109375	57322,390625	129996,859375	18063,455078125	17818,240234375	17888,765625	16166,3623046875	15524,890625	12480,7890625	19546,041015625	19130,32421875	17255,578125	15496,18359375	17844,828125	17454,841796875
P26440	IVD	Homo sapiens	Isovaleryl-CoA dehydrogenase, mitochondrial	IVD_HUMAN	13	13	13	True	324182,8125	374441,21875	329189,5625	390513,03125	385404,21875	495098,3125	307197,5625	255673,921875	249068,96875	258301,46875	293207,90625	225174,8125	96848,984375	121063,8984375	108939,8203125	113028,390625	116814,546875	129330,46875	80302,625	70261,9921875	66880,921875	57834,2890625	81393,765625	52330,76953125
P26447	S100A4	Homo sapiens	Protein S100-A4	S10A4_HUMAN	4	5	5	True	146146,90625	120180,234375	90868	130059,5	155722,171875	127277,1015625	149782,53125	211929,28125	142641,8125	138005,765625	187198,84375	155246,765625	49070,41796875	44459,23046875	27218,46484375	57638,27734375	58693,0625	46028,9453125	60630,9140625	82292,8203125	51562,71484375	60362,25390625	75974,921875	61599,21484375
P26572	MGAT1	Homo sapiens	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1_HUMAN	9	9	9	False	115368,7734375	78431,8515625	94511,8125	129969,5625	77265,78125	105152,5546875	143675,53125	82317,2578125	73919,4140625	178881,40625	68855,3515625	68287,984375	37363,4453125	28554,44921875	44981,796875	56767,3515625	42152,3046875	43467,125	63851,27734375	36046,37890625	29224,048828125	84414,4296875	31885,4375	27368,310546875
P26583	HMGB2	Homo sapiens	High mobility group protein B2	HMGB2_HUMAN	17	19	24	False	877419,5625	1098458,375	1021365,875	948992,75	1035462,6875	1115404,25	1064959,75	1138531,25	1116710,375	1253195,25	1249061,875	1241940,875	180391,984375	207317,078125	173223,59375	161329,015625	191560,328125	209099,890625	207441,609375	235877,9375	223506,828125	233741,359375	310094,625	268097,1875
P26599;P26599-2;P26599-3	PTBP1	Homo sapiens	Polypyrimidine tract-binding protein 1;Isoform 2 of Polypyrimidine tract-binding protein 1;Isoform 3 of Polypyrimidine tract-binding protein 1	PTBP1_HUMAN	23	27	36	False	4959523	5626486	4878023,5	4681284,5	5067816	4743137,5	5415044,5	5551224	5387639	4387777	4513109,5	4466303	835296,6875	953029,6875	865218,9375	826576,0625	881701,25	876588,0625	929526,3125	949806,5	885350,875	758069,875	847277,375	746767,4375
P26639	TARS1	Homo sapiens	Threonine--tRNA ligase 1, cytoplasmic	SYTC_HUMAN	41	42	50	False	895473,25	897806,8125	907761,5625	847846,25	800093,875	723882,6875	813111,1875	686657,375	779082,6875	816847,8125	628250,125	834107,9375	234370,5	222490,90625	236027,34375	223587,0625	219328,859375	187950,25	197696,875	185279,390625	230371,34375	206941,3125	192734,40625	222161,890625
P26640	VARS1	Homo sapiens	Valine--tRNA ligase	SYVC_HUMAN	49	50	59	False	950498,0625	830840,875	932418,1875	760370,875	714104,3125	627528,1875	683458,4375	655272,75	920287,3125	927529,875	601423,0625	921695,875	243762,59375	216403,625	236495,5	188363,21875	188098,453125	167602,640625	170431,015625	171901,75	245105,65625	230148,78125	173614,421875	228468,28125
P26641	EEF1G	Homo sapiens	Elongation factor 1-gamma	EF1G_HUMAN	32	35	44	False	8874647	8675858	7518351,5	7430191	7684043,5	6812413	7617089	7117505	7677537,5	6924249	6852484	5937385,5	2514615	2325598,5	2020006,125	2170085,75	2111823,75	1919176,5	2192380	2083102,875	2262188,25	2221637	2214966	1837109,25
P26885	FKBP2	Homo sapiens	Peptidyl-prolyl cis-trans isomerase FKBP2	FKBP2_HUMAN	10	10	12	False	1345219	1336507,625	1117376,75	1122657,875	1223721,375	1095758,25	1073433	983243,375	903187,4375	1093321,875	1097085	1030722,25	282967,28125	282834,8125	249066,484375	273882,875	303659,28125	267383,125	220684,78125	270094	283262,09375	293904,5625	277139,09375	294665,96875
