PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
P13611-5	VCAN	Homo sapiens	Isoform Vint of Versican core protein	CSPG2_HUMAN	1	1	1	False	79746,5546875	154649,078125	83306,875	79002,6015625	105475,734375	44614,4765625	141883,265625	98365,7890625	86518,2421875	84978,8203125	80919,7578125	48247,1328125	20966,40234375	32166,78125	20851,30859375	25735,220703125	22448,833984375	14650,5625	32774,046875	27383,966796875	21323,3203125	27926,837890625	25179,787109375	20372,3984375
P13612	ITGA4	Homo sapiens	Integrin alpha-4	ITA4_HUMAN	5	5	5	False	3571,654296875	7784,30517578125	4142,47705078125	4902,80029296875	6866,23876953125	7094,22119140625	5798,71826171875	3986,72265625	4363,54833984375	7112,125	9798,2412109375	21332,759765625	730,6326904296875	2046,6944580078125	1788,0108642578125	1806,7127685546875	2536,595947265625	1430,1263427734375	2835,926025390625	2926,550537109375	2461,694580078125	3591,9384765625	4485,150390625	3344,5888671875
P13639	EEF2	Homo sapiens	Elongation factor 2	EF2_HUMAN	36	41	45	False	945527,9375	986647,875	871563,1875	748182,9375	1135250,625	732441,4375	816484,625	808866,75	1008733,5	740988,625	985702,5	975180,75	203568,140625	209964,625	206552,203125	166238,234375	242093,4375	172140,578125	186919,796875	176069,6875	225823,78125	172867,9375	207305,6875	200777,78125
P13645	KRT10	Homo sapiens	Keratin, type I cytoskeletal 10	K1C10_HUMAN	23	25	27	False	153533,6875	1238982,5	827036,8125	433567,25	254231,28125	145421,578125	178744,515625	194077	1007334,9375	404761,40625	144819,25	297738,78125	33502,39453125	261570,484375	185077,296875	108455,2421875	59687,40625	28880,95703125	48556,04296875	38117,94140625	217676,28125	102000,2109375	34796,72265625	86657,21875
P13647	KRT5	Homo sapiens	Keratin, type II cytoskeletal 5	K2C5_HUMAN	12	12	12	False	14248,80859375	42383,6171875	46473,8828125	45267,64453125	10203,21875	3644,554931640625	21443,1484375	3177,98486328125	30171,08203125	36252,5	15448,25390625	19695,228515625	5190,46826171875	15273,2587890625	17029,009765625	14254,2001953125	4979,60400390625	2031,0625	5512,6826171875	2729,312255859375	12250,083984375	14463,0673828125	3030,216552734375	3220,260498046875
P13667	PDIA4	Homo sapiens	Protein disulfide-isomerase A4	PDIA4_HUMAN	20	20	21	False	480418,65625	203101,703125	103532,71875	381692,96875	117511,828125	159074,6875	128768,859375	199343,453125	113429,5703125	193022,59375	163651,09375	104537,3046875	43768,47265625	20135,74609375	10392,4111328125	34284,52734375	10750,26953125	15034,65234375	13184,185546875	20534,052734375	10445,2568359375	19628,1796875	17045,43359375	12592,8056640625
P13671	C6	Homo sapiens	Complement component C6	CO6_HUMAN	2	2	2	False	17572,48046875	17057,939453125	17581,576171875	25059,962890625	9894,5556640625	18378,345703125	18745,94140625	9217,7080078125	14987,998046875	11094,3359375	11044,017578125	17718,22265625	5263,4951171875	4485,291015625	3438,24951171875	6637,77685546875	3086,807373046875	3924,504638671875	5358,13427734375	2650,729736328125	3714,5322265625	3004,751953125	2686,615966796875	4847,4501953125
P13674;P13674-2;P13674-3	P4HA1	Homo sapiens	Prolyl 4-hydroxylase subunit alpha-1;Isoform 2 of Prolyl 4-hydroxylase subunit alpha-1;Isoform 3 of Prolyl 4-hydroxylase subunit alpha-1	P4HA1_HUMAN	8	8	9	False	80151,546875	89709,2578125	80505,3125	91072,1640625	121501,0390625	124493,5625	119598,421875	123161,3359375	49498,19140625	96928,3515625	109235,25	90541,96875	16346,76953125	15384,5302734375	15429,6083984375	17697,24609375	21267,078125	25500,025390625	16602,98046875	19469,421875	7281,22119140625	24014,669921875	25797,09765625	19566,51953125
P13693	TPT1	Homo sapiens	Translationally-controlled tumor protein	TCTP_HUMAN	10	15	16	False	863464,125	667597,0625	673206,8125	619901,875	844168,4375	909222,625	623909,5	655458,9375	724807,625	548779,5	612754,1875	594031,5	83928,265625	67065,03125	79941,90625	72167,96875	89591,0625	91669,5625	77194,890625	65990,921875	78810,515625	70959,7109375	66849,7109375	71376,4453125
P13716;P13716-2	ALAD	Homo sapiens	Delta-aminolevulinic acid dehydratase;Isoform 2 of Delta-aminolevulinic acid dehydratase	HEM2_HUMAN	7	7	7	False	60950,85546875	36670,41015625	44066,90625	44135,01953125	50975,46875	42737,890625	25815,0390625	52445,66796875	53011,15234375	28595,6328125	43827,59375	33587,5390625	11286,6083984375	14727,27734375	14071,2333984375	9952,7119140625	12247,849609375	13047,51953125	7748,35888671875	12819,2001953125	12779,2275390625	7022,49658203125	10227,2333984375	10072,896484375
P13747	HLA-E	Homo sapiens	HLA class I histocompatibility antigen, alpha chain E	HLAE_HUMAN	4	4	4	True	25151,58984375	25227,892578125	36985,515625	66319,2109375	16819,951171875	27891,744140625	21442,740234375	37529,84375	16350,2802734375	27338,623046875	26576,3125	25390,404296875	7973,103515625	7612,07666015625	10311,92578125	13054,9208984375	4374,1171875	9679,970703125	5035,947265625	10715,328125	6520,55859375	4247,60009765625	4868,330078125	7447,73046875
P13796	LCP1	Homo sapiens	Plastin-2	PLSL_HUMAN	2	2	2	False	64215,48828125	86502,4296875	77355,4140625	86440,265625	65772,2890625	40041,77734375	57534,38671875	92801,3984375	81056,703125	74354,9375	66233,65625	79090,546875	2291,836669921875	3636,22265625	2470,332275390625	3122,098876953125	2134,931396484375	1234,9176025390625	3501,260009765625	2389,843017578125	3696,119140625	1507,785400390625	2658,266357421875	2017,259765625
P13797	PLS3	Homo sapiens	Plastin-3	PLST_HUMAN	27	28	32	False	405515,28125	603810,1875	461387,0625	367641,5625	568255	410138,28125	476689,59375	508117,4375	688233,3125	456544,71875	583037,3125	602530,9375	92083	112432,8984375	105605,859375	84926,5078125	125944,5546875	97798,59375	110897,9609375	111066	139066,890625	103152,5390625	128820,875	135203,046875
P13798	APEH	Homo sapiens	Acylamino-acid-releasing enzyme	ACPH_HUMAN	8	8	8	False	52020,98046875	71542,265625	49796,890625	61059,359375	86922,2109375	87350,53125	44458,0078125	71372,65625	111683,109375	59997,3515625	67080,8125	83408,875	21847,70703125	19376,88671875	24400,791015625	17511,833984375	24611,251953125	22346,966796875	16840,892578125	19458,681640625	35292,2578125	17023,220703125	24749,94921875	28333,244140625
P13804;P13804-2	ETFA	Homo sapiens	Electron transfer flavoprotein subunit alpha, mitochondrial;Isoform 2 of Electron transfer flavoprotein subunit alpha, mitochondrial	ETFA_HUMAN	1	1	1	False	9541,9375	14737,5908203125	NaN	NaN	13329,9658203125	4713,81689453125	9695,0224609375	5087,849609375	7110,24951171875	11690,0625	16302,5361328125	12371,0615234375	9623,806640625	12156,56640625	6989,22705078125	7569,3310546875	12710,767578125	10405,3818359375	16970,828125	10381,2119140625	11251,05078125	16062,9208984375	13872,4482421875	15234,2490234375
P13861;P13861-2	PRKAR2A	Homo sapiens	cAMP-dependent protein kinase type II-alpha regulatory subunit;Isoform 2 of cAMP-dependent protein kinase type II-alpha regulatory subunit	KAP2_HUMAN	7	7	7	True	26044,9296875	8401,9384765625	11011,955078125	20500,705078125	18293,98046875	16874,509765625	5009,42041015625	8011,09033203125	4194,65771484375	1273,2769775390625	4612,103515625	3955,03662109375	7470,71533203125	3447,379150390625	1610,4061279296875	6127,57861328125	1676,8572998046875	2566,1796875	1965,162353515625	3329,405029296875	1004,5795288085938	3098,25	2204,0712890625	1109,6953125
P13929;P13929-2;P13929-3	ENO3	Homo sapiens	Beta-enolase;Isoform 2 of Beta-enolase;Isoform 3 of Beta-enolase	ENOB_HUMAN	1	1	1	False	21940,294921875	27590,669921875	43395,453125	7717,4609375	48191,78515625	81538,6796875	14304,53125	7094,1484375	38708,83984375	14263,56640625	NaN	NaN	10209,9990234375	8442,521484375	16227,5322265625	10888,568359375	15917,8330078125	20376,169921875	7439,62548828125	8817,15625	11523,7119140625	8420,7578125	7151,67919921875	NaN
P13942;P13942-2;P13942-3;P13942-4;P13942-5;P13942-6;P13942-7;P13942-8	COL11A2	Homo sapiens	Collagen alpha-2(XI) chain;Isoform 2 of Collagen alpha-2(XI) chain;Isoform 3 of Collagen alpha-2(XI) chain;Isoform 4 of Collagen alpha-2(XI) chain;Isoform 5 of Collagen alpha-2(XI) chain;Isoform 6 of Collagen alpha-2(XI) chain;Isoform 7 of Collagen alpha-2(XI) chain;Isoform 8 of Collagen alpha-2(XI) chain	COBA2_HUMAN	1	1	1	False	1	9,308107376098633	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	936,8248901367188	7229,06103515625	1746,0289306640625	NaN	700,5997314453125	NaN	2327,994384765625	NaN	1631,0118408203125	NaN	NaN	NaN
P13987;P13987-2	CD59	Homo sapiens	CD59 glycoprotein;Isoform 2 of CD59 glycoprotein	CD59_HUMAN	5	5	7	True	256798,6875	240903,3125	213420,65625	232943,859375	520550,46875	238369,453125	347283,4375	296216,25	493024,96875	397335,53125	474285,75	542928,0625	55882,28125	51075,58984375	51825,28125	68849,40625	95395,5546875	50537,49609375	84619,6796875	62586,52734375	119053,8671875	100557,5234375	102786,078125	119788,6171875
P14174	MIF	Homo sapiens	Macrophage migration inhibitory factor	MIF_HUMAN	2	3	5	True	2499913,5	1572052,625	2023662,75	1476428,125	1588336,25	1806652,375	1281672,25	1315658,125	1864328,25	1324969	1016755	1386006	685840,4375	648573,1875	721838,5	451522,25	511017,3125	658101,8125	569658,5	387645,5625	653878,75	446214,4375	338505,53125	401891,59375
P14209	CD99	Homo sapiens	CD99 antigen	CD99_HUMAN	4	5	5	False	10620,0234375	40852,51953125	32868,12109375	19994,544921875	32313,53515625	40220,58984375	19278,201171875	28475,072265625	38622,98828125	44575,796875	47573,28125	48517,0546875	5325,4814453125	6910,50244140625	6440,07666015625	3647,523681640625	6796,25048828125	4628,37939453125	6895,81494140625	3819,353271484375	5908,79833984375	4741,796875	4835,55078125	5089,02001953125
P14210;P14210-3	HGF	Homo sapiens	Hepatocyte growth factor;Isoform 3 of Hepatocyte growth factor	HGF_HUMAN	21	21	21	False	106793,8203125	97665,125	87386,2421875	128410,9375	72109,6796875	106915,6640625	65707,359375	136086,53125	41864,8671875	99308,7578125	97597,5859375	53690,1640625	34116,93359375	26320,224609375	26112,94140625	44037,5625	20751,84765625	33250,5078125	21321,333984375	38086,15625	13725,18359375	28707,193359375	31754,681640625	17375,2421875
P14314;P14314-2	PRKCSH	Homo sapiens	Glucosidase 2 subunit beta;Isoform 2 of Glucosidase 2 subunit beta	GLU2B_HUMAN	17	18	19	False	313415,9375	285765,4375	163020,8125	396863,09375	123187,2734375	259222,65625	239377,25	375996,0625	88993,3515625	280093,125	173190,28125	78826,1484375	62980,734375	53722,671875	34015,46484375	76139,6171875	24452,23828125	50860,19921875	48395,23046875	68248,6015625	15613,02734375	57737,69140625	33808,97265625	20753,150390625
P14324;P14324-2	FDPS	Homo sapiens	Farnesyl pyrophosphate synthase;Isoform 2 of Farnesyl pyrophosphate synthase	FPPS_HUMAN	7	7	7	False	190176,8125	204572,421875	152153,75	104288,578125	229905,015625	179714,5625	113798,4609375	159813,4375	280885,15625	104471,4375	190678,0625	235521,25	21166,248046875	24507,34765625	30299,91015625	16977,890625	37241,5390625	31691,482421875	23895,025390625	24468,416015625	54479,0859375	22944,4765625	33219,59765625	46698,9765625
P14384	CPM	Homo sapiens	Carboxypeptidase M	CBPM_HUMAN	10	11	12	False	244044,046875	276262,875	205728,4375	351540,96875	176336,03125	213267,84375	169301,484375	384348,9375	250715,4375	243093,890625	322395,3125	262951,65625	40476,3125	47999,5625	33317,60546875	70110,2109375	39528,44921875	43732,92578125	37120,0859375	69516,28125	45378,39453125	49237,8828125	51992,6015625	49850,99609375
P14406	COX7A2	Homo sapiens	Cytochrome c oxidase subunit 7A2, mitochondrial	CX7A2_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	0,06744395196437836	NaN	NaN	1	1,4715269804000854	0,7102339267730713	2,162930727005005	2,939666748046875	6069,64599609375	5846,037109375	4317,04638671875	5927,05859375	5981,83740234375	7251,111328125	5717,92431640625	8776,6064453125	3423,554443359375	5664,22314453125	8740,78125	5042,4833984375
P14543	NID1	Homo sapiens	Nidogen-1	NID1_HUMAN	60	64	75	False	5957126,5	8197163	5872293	8936767	5088596,5	5284838	6022644,5	7761286,5	3438703,5	5772843,5	5338483	4367005,5	1464843,375	1841135,125	1437140,875	2126508,25	1173582,875	1288548,75	1460662,625	1870076,125	848371,8125	1418117,875	1364365,875	1048180,125
P14550	AKR1A1	Homo sapiens	Aldo-keto reductase family 1 member A1	AK1A1_HUMAN	10	10	10	True	321447,5625	258338,0625	229517,84375	167995,890625	234257,4375	213188,734375	176986,859375	147095,859375	339377,875	120747,375	151753,046875	95047,3984375	72314,2109375	55002,08203125	54795,8125	36419,03125	49341,578125	53728,2734375	42994,8203125	29516,275390625	62918,375	35268,08203125	35735,16796875	40726,53125
P14555	PLA2G2A	Homo sapiens	Phospholipase A2, membrane associated	PA2GA_HUMAN	4	4	4	True	1532498,25	1890082,75	1476322,25	1152645,25	768231,1875	1194845,875	738441,5625	907311	735576,75	393236,46875	359585	441541,34375	246706,234375	226319,296875	286190,84375	191722,9375	124272,0234375	213734,15625	142599,453125	170160,90625	145495,65625	85645,6640625	66042,2109375	87854,921875
P14618	PKM	Homo sapiens	Pyruvate kinase PKM	KPYM_HUMAN	36	43	47	False	3931009,5	3826012	3620904,25	3828972,5	4405905	4503536,5	3122633,5	3535619,25	5052745,5	3753464,75	4225885,5	4642834	1033325,8125	955356,625	1046888,5625	1045364,1875	1259356	1237404,25	829281,625	1007926,0625	1360634,25	1086380,875	1176148,75	1340504,625
P14618-2	PKM	Homo sapiens	Isoform M1 of Pyruvate kinase PKM	KPYM_HUMAN	3	3	3	False	144374,78125	38111,3046875	97070,3671875	11952,9658203125	3459,19287109375	7580,78857421875	3067,4248046875	8750,6845703125	550,0823364257812	985,4765014648438	184,71087646484375	5895,21142578125	6138,47802734375	5297,158203125	4579,2783203125	3093,89404296875	5202,94970703125	10075,4560546875	3885,281005859375	3290,45947265625	4745,146484375	3044,201416015625	3999,3466796875	3231,547607421875
P14621	ACYP2	Homo sapiens	Acylphosphatase-2	ACYP2_HUMAN	4	4	4	False	7659,72314453125	8702,6259765625	3123,37744140625	9912,046875	6586,27685546875	5871,55322265625	8163,32763671875	3900,01806640625	10788,1787109375	7834,86279296875	10698,1474609375	9494,1220703125	4638,91357421875	3284,197265625	4215,63134765625	3625,96337890625	4654,72705078125	4006,485595703125	4392,05078125	3267,139892578125	4659,7958984375	3420,74609375	3672,3359375	4779,94287109375
P14625	HSP90B1	Homo sapiens	Endoplasmin	ENPL_HUMAN	31	33	34	False	906694,0625	542008,0625	291288,28125	584790,4375	282323,75	373451,75	449750,8125	492702,75	265632,75	515996,84375	451119,875	357099,375	335789,4375	196883,1875	114484,1875	246318,65625	115783,8203125	141290,203125	164507,984375	193871,828125	107032,3984375	203736,890625	172464,15625	124407,65625
P14678;P14678-2;P14678-3;P63162;P63162-2	SNRPB;SNRPB;SNRPB;SNRPN;SNRPN	Homo sapiens	Small nuclear ribonucleoprotein-associated proteins B and B';Isoform SM-B of Small nuclear ribonucleoprotein-associated proteins B and B';Isoform SM-B1 of Small nuclear ribonucleoprotein-associated proteins B and B';Small nuclear ribonucleoprotein-associated protein N;Isoform 2 of Small nuclear ribonucleoprotein-associated protein N	RSMB_HUMAN;RSMB_HUMAN;RSMB_HUMAN;RSMN_HUMAN;RSMN_HUMAN	3	3	4	False	64862,35546875	20227,875	22753,451171875	59457,72265625	19518,7109375	25163,693359375	NaN	21625,69921875	14421,4541015625	5260,97021484375	58700,765625	NaN	10381,8662109375	20810,783203125	4009,1669921875	5967,14990234375	2666,268798828125	3410,94189453125	1803,3265380859375	5354,087890625	2886,114990234375	2488,261962890625	3009,587158203125	6238,0146484375
P14735	IDE	Homo sapiens	Insulin-degrading enzyme	IDE_HUMAN	11	11	11	False	23491,455078125	26719,158203125	19691,025390625	20923,2734375	31821,591796875	27257,84375	21767,533203125	20273,08984375	35291,25390625	26112,6484375	31221,333984375	31591,205078125	2474,279541015625	2631,02880859375	2936,07373046875	1716,569091796875	3598,43017578125	2873,31982421875	2693,39306640625	3020,44775390625	4005,973876953125	2655,792236328125	3296,34033203125	3183,513427734375
P14780	MMP9	Homo sapiens	Matrix metalloproteinase-9	MMP9_HUMAN	1	1	1	False	17481,85546875	7493,3330078125	7899,43017578125	17599,44921875	9469,8779296875	7693,56689453125	22453,953125	NaN	16844,455078125	9284,0625	18172,892578125	NaN	2859,796630859375	1264,67138671875	966,662353515625	2560,600830078125	963,8860473632812	1244,381591796875	5423,0791015625	NaN	3107,532958984375	2116,693115234375	1082,8525390625	NaN
P14854	COX6B1	Homo sapiens	Cytochrome c oxidase subunit 6B1	CX6B1_HUMAN	3	3	3	False	113717,359375	122442,109375	124310,2578125	112858,1875	119984,171875	132748,75	98809,9921875	106491,484375	122006,7578125	124537,5	130074,03125	167213,8125	30326,994140625	28947,8515625	35468,3828125	27930,283203125	29563,095703125	34486,703125	27326,638671875	27549,6171875	32396,029296875	32621,58203125	25435,78515625	39708,7734375
P14866	HNRNPL	Homo sapiens	Heterogeneous nuclear ribonucleoprotein L	HNRPL_HUMAN	10	10	10	False	60591,2109375	71870,765625	45462,8515625	66755,28125	44395,86328125	44780,91015625	42989,89453125	45049,54296875	20437,349609375	44172,71484375	29603,142578125	35550,72265625	13114,541015625	12740,78125	8342,177734375	14678,744140625	10375,43359375	11858,9091796875	7976,06640625	9983,5556640625	7058,79541015625	9292,900390625	8187,361328125	7773,11279296875
P14868	DARS1	Homo sapiens	Aspartate--tRNA ligase, cytoplasmic	SYDC_HUMAN	11	11	11	False	38315,73046875	22087,349609375	10351,2734375	15625,1923828125	26674,20703125	26769,0859375	19648,28125	8961,458984375	21510,830078125	28258,240234375	30777,9609375	14137,7880859375	11160,7265625	8345,8349609375	6764,712890625	7103,99609375	11295,384765625	7689,0849609375	6789,35888671875	6515,7158203125	8683,326171875	8397,4287109375	8762,3720703125	8471,87109375
P14927;P14927-2	UQCRB	Homo sapiens	Cytochrome b-c1 complex subunit 7;Isoform 2 of Cytochrome b-c1 complex subunit 7	QCR7_HUMAN	1	1	1	False	NaN	NaN	NaN	0,030836114659905434	NaN	NaN	NaN	1	NaN	3,584514856338501	2,763272762298584	NaN	2028,5867919921875	3496,27978515625	1570,0621337890625	3003,258544921875	NaN	3153,760009765625	6379,9931640625	3619,267333984375	NaN	4943,1298828125	2792,93798828125	3715,811767578125
P15090	FABP4	Homo sapiens	Fatty acid-binding protein, adipocyte	FABP4_HUMAN	1	1	1	False	3088,52392578125	NaN	3784,645751953125	NaN	3653,708740234375	5752,09326171875	NaN	NaN	NaN	NaN	NaN	NaN	755,53173828125	186,10182189941406	417,90069580078125	NaN	664,265380859375	1775,5513916015625	NaN	NaN	NaN	NaN	NaN	NaN
P15104	GLUL	Homo sapiens	Glutamine synthetase	GLNA_HUMAN	9	9	10	False	214172,34375	124699,359375	188336,796875	201906,96875	192410,15625	143438,6875	77350,375	120560,921875	168144,5625	104477,5625	130240,2890625	146268,890625	67610,671875	58595,1015625	74217,4296875	67646,078125	62076,3828125	67600,4375	41564,44921875	55224,83984375	64622,4921875	44060,65234375	50847,39453125	65391,72265625
P15121	AKR1B1	Homo sapiens	Aldo-keto reductase family 1 member B1	ALDR_HUMAN	9	9	10	False	157620,03125	168158,484375	169681,953125	147993,703125	182273,453125	178033,84375	121252,203125	116795,9453125	183229,390625	119284,4609375	133816,609375	172598,21875	57377,23046875	46332,31640625	56587,73046875	49001,453125	57329,1328125	63230,1640625	42656,37890625	41752,96484375	70244,5234375	48788,3359375	41614,98828125	54022,1953125
P15144	ANPEP	Homo sapiens	Aminopeptidase N	AMPN_HUMAN	33	40	43	False	501433,6875	537356,125	354796,71875	559895,75	531863,8125	479325,4375	366438,3125	622911,75	563352,0625	565221,625	709877,375	668068,6875	146870,375	162193	118546,984375	177933,40625	174262,6875	146736,421875	123747,5078125	206392,546875	186428,015625	194267,171875	214608,265625	219697,96875
P15151;P15151-2;P15151-3	PVR	Homo sapiens	Poliovirus receptor;Isoform Beta of Poliovirus receptor;Isoform Gamma of Poliovirus receptor	PVR_HUMAN	3	3	4	True	45379,90625	82714,921875	45640,765625	90583,765625	67453,7890625	85427,46875	106994,828125	86570,7265625	100010,421875	120396,1328125	111858,234375	100061,3046875	16627,154296875	19114,171875	18020,337890625	23675,228515625	21388,517578125	23497,943359375	30441,06640625	25020,509765625	26210,251953125	31390,91796875	32518,4921875	26210,884765625
P15169	CPN1	Homo sapiens	Carboxypeptidase N catalytic chain	CBPN_HUMAN	1	1	1	False	908,2598266601562	4826,9755859375	3012,177978515625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2043,0205078125	2587,378173828125	808,269287109375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P15170;P15170-2;P15170-3	GSPT1	Homo sapiens	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Isoform 2 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	ERF3A_HUMAN	11	11	11	False	42097,859375	16277,2353515625	10282,1318359375	26312,58203125	15179,931640625	19414,7578125	18961,982421875	21014,1171875	69733,96875	13536,578125	17717,0859375	NaN	7943,3525390625	4820,1142578125	4296,724609375	4399,90283203125	3508,87646484375	4861,94873046875	3746,09716796875	4699,6552734375	815,090576171875	3868,5087890625	2171,310791015625	NaN
P15172	MYOD1	Homo sapiens	Myoblast determination protein 1	MYOD1_HUMAN	1	1	1	False	494113,78125	209397,40625	115339,7734375	334508,25	437375,03125	192209	265349,1875	304080,90625	495388,0625	231048,578125	891760,8125	236312,21875	54248,05078125	35968,48828125	23774,626953125	40512,98046875	42186,1328125	16376,90234375	19873,052734375	33357,72265625	42914,46875	10382,990234375	57340,8203125	33898,64453125
P15289;P15289-2	ARSA	Homo sapiens	Arylsulfatase A;Isoform 2 of Arylsulfatase A	ARSA_HUMAN	10	11	14	False	69537,296875	138903,421875	89881,3125	70736,0234375	118237,1640625	104093,5078125	107569,109375	127320,90625	94606,109375	70704,9765625	113907,734375	81964,625	18768,74609375	34929,9765625	25959,7890625	18363,265625	29090,283203125	25782,4375	29476,455078125	34775,9140625	32058,27734375	23701,958984375	34088,26953125	27346,419921875
P15291;P15291-2	B4GALT1	Homo sapiens	Beta-1,4-galactosyltransferase 1;Isoform Short of Beta-1,4-galactosyltransferase 1	B4GT1_HUMAN	11	14	15	False	501984,40625	1132436,875	650054,875	760689,5	754846,875	474053,15625	544489,125	1009084,75	989312,625	466334,46875	791799,25	795127,625	143592,109375	329665,8125	185046,421875	255824,953125	232198,515625	151828,765625	146915,375	293144,0625	275358,46875	127018,9453125	241681,015625	259303,171875
P15311	EZR	Homo sapiens	Ezrin	EZRI_HUMAN	29	30	33	False	316725,71875	287738,90625	283162,625	229101,921875	383679,875	362353,84375	276350,78125	243237,703125	338598,4375	314882,375	320145,40625	329414,71875	75267,703125	61807,85546875	70878,9140625	56748,453125	91942,5390625	91826,8203125	67045	56700,1953125	85089,421875	72282,890625	74844,8125	79453,859375
P15374	UCHL3	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase isozyme L3	UCHL3_HUMAN	3	3	3	False	122028,6953125	59392,78515625	45066,9296875	37400,86328125	29741,708984375	42767,10546875	31214,06640625	42262,68359375	53542,1328125	85609,640625	126154,7421875	49887,80859375	16298,3427734375	8085,36181640625	10049,0693359375	7453,38916015625	8192,7861328125	5998,9482421875	5118,6474609375	6347,42626953125	4297,97412109375	7541,513671875	5277,14453125	4227,1796875
P15502-8	ELN	Homo sapiens	Isoform 8 of Elastin	ELN_HUMAN	1	1	1	False	257957,890625	261164,78125	266148,84375	291579,125	159386,140625	241235,859375	397346,78125	114735,2421875	179021,953125	251539,0625	202913,15625	243794,875	48825,12109375	48171,3046875	50998,55078125	58832,68359375	36131,2421875	52803,953125	81588,046875	42663,63671875	44134,1484375	50301,09375	38138,76953125	40235,44140625
P15502;P15502-1;P15502-10;P15502-12;P15502-13;P15502-2;P15502-4;P15502-5;P15502-6;P15502-7;P15502-9	ELN	Homo sapiens	Elastin;Isoform 1 of Elastin;Isoform 10 of Elastin;Isoform 12 of Elastin;Isoform 13 of Elastin;Isoform 2 of Elastin;Isoform 4 of Elastin;Isoform 5 of Elastin;Isoform 6 of Elastin;Isoform 7 of Elastin;Isoform 9 of Elastin	ELN_HUMAN	6	6	8	False	1124570,25	1248332,25	979449,125	1072899	785419,125	769783,5	1285708	744987,6875	797600,6875	744292,5625	770265,625	803480,0625	211235,5625	232374,40625	197299,875	214635,078125	160834,125	177858,421875	278097,9375	157142,921875	153708,171875	165892,3125	153540,296875	155670,84375
